################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED SEQ:	 b'watch ! this politically incorrect car stick ##er is beyond epic has liberals melting down'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.039879724, 0.020311894, 0.03452826, 0.049056683, 0.024101274, 0.00082788424, 0.00083075673, 0.0004946438, 0.2899719, 0.086012356, 0.09353344, 0.037159845, 0.09863004, 0.0048753647, 0.00022250862]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the problem with illegal immigration illustrated so even a liberal can understand'
GOLD SEQ: 	 b'the problem with illegal immigration illustrated so even a liberal can understand'
PRED SEQ:	 b'the problem with illegal immigration illustrated so a liberal can understand'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.001379706, 0.011766555, 6.883767e-05, 0.061717007, 0.0018819118, 0.018603528, 0.004418842, 0.37215957, 0.006557331, 0.0930288, 0.03791349, 0.07215452]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##ers ##the purge has begun !'
GOLD SEQ: 	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##ers ##the purge has begun !'
PRED SEQ:	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##er ##the purge has begun !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0031672944, 0.0403327, 0.0001511624, 2.3440534e-05, 1.5010755e-05, 0.00012302684, 0.000272744, 0.0008906556, 0.0006521085, 0.0005283691, 0.0007599182, 0.00081685325, 1.7780654e-05, 0.007333021, 0.0037439815, 0.36538616, 0.46450615, 0.3393538, 0.1679632, 0.0005968198, 0.0014553164, 0.04956062]
GOLD TOK: 	 []
PRED TOK: 	 [['##er']]
################################################################################
IN SEQ: 	 b'exposed : sources claim warren , harris behind de ##bu ##nk ##ed cnn hit piece'
GOLD SEQ: 	 b'exposed : sources claim warren , harris behind de ##bu ##nk ##ed cnn hit piece'
PRED SEQ:	 b'exposed : sources claim warren , harris behind the united states cnn hit piece'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.011998992, 0.000112214526, 0.0017248737, 0.115310945, 0.00018948782, 5.1399948e-06, 0.00018388973, 0.002803512, 0.35253537, 0.20926046, 0.5420846, 0.6756257, 0.00063660176, 0.10821233, 0.034946445]
GOLD TOK: 	 []
PRED TOK: 	 [['the', 'united', 'states']]
################################################################################
IN SEQ: 	 b'video of woman stealing from ellen ##s show goes viral'
GOLD SEQ: 	 b'video of woman stealing from ellen ##s show goes viral'
PRED SEQ:	 b'video of woman stealing from ellen ##s show goes viral'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0005715008, 0.0007817716, 0.26082572, 0.48291963, 0.00017401822, 0.006816299, 9.8811055e-05, 0.0006290861, 0.010882093, 0.005033644]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'teen jumps from moving car to escape ho ##rri ##fying race - based attempted rape by 3 males at gun ##point'
GOLD SEQ: 	 b'teen jumps from moving car to escape ho ##rri ##fying race - based attempted rape by 3 males at gun ##point'
PRED SEQ:	 b'teen jumps from moving car to escape race - based attempted rape by 3 males at gun ##point'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [4.704915e-06, 1.9078807e-06, 8.792273e-07, 1.2508641e-06, 1.1642646e-06, 8.419157e-07, 1.4976875e-06, 0.99965405, 0.9997341, 0.99970526, 5.585733e-06, 2.8506067e-06, 4.6623836e-06, 3.3774254e-06, 4.958514e-06, 9.316055e-07, 5.113651e-06, 5.8294904e-06, 9.2822665e-07, 1.5428556e-06, 1.2058088e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'family forced to remove cross memorial of their dead mother as atheist ##s take stand'
GOLD SEQ: 	 b'family forced to remove cross memorial of their dead mother as atheist ##s take stand'
PRED SEQ:	 b'family forced to remove cross memorial of their mother as atheist ##s take stand'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.05162885, 0.1163831, 9.831894e-06, 0.00019508657, 0.014673392, 0.016829535, 2.015997e-05, 0.043794937, 0.36186677, 0.06722832, 0.0005143255, 0.012589013, 0.012046279, 0.00030275312, 0.0001125068]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'republicans should stick to their principles , even when dealing with california democrats'
GOLD SEQ: 	 b'republicans should stick to their principles , even when dealing with california democrats'
PRED SEQ:	 b'republicans should stick to their principles , even when dealing with california democrats'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07034653, 0.62082356, 0.0001887548, 4.947806e-06, 0.009897616, 0.003979241, 2.1740063e-06, 0.014212889, 2.510236e-05, 3.313931e-05, 4.340598e-06, 0.009432654, 0.026998052]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'wow : the new york times just admitted that trump was right about the war on statues'
GOLD SEQ: 	 b'wow : the new york times just admitted that trump was right about the war on statues'
PRED SEQ:	 b': the new york times just reported that trump was right about the war on statues'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.64920604, 0.00093859073, 2.929891e-06, 1.968687e-06, 2.130697e-06, 2.0950267e-06, 0.01688734, 0.29926747, 1.6646434e-05, 0.00012328263, 0.001126369, 0.005923242, 4.7916306e-05, 2.4327974e-05, 5.2371643e-06, 2.9025307e-06, 5.4706693e-06]
GOLD TOK: 	 []
PRED TOK: 	 [['reported']]
################################################################################
IN SEQ: 	 b'no shame : right after trump jr . released his emails , robert mueller did something totally disgusting'
GOLD SEQ: 	 b'no shame : right after trump jr . released his emails , robert mueller did something totally disgusting'
PRED SEQ:	 b'no shame : right after trump jr . released his emails , robert mueller did something disgusting'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0069438578, 0.107414596, 0.000110034474, 0.00016930948, 3.7066027e-06, 1.28492675e-05, 1.0742276e-05, 1.1492811e-05, 1.5864594e-05, 3.293135e-05, 1.6021408e-05, 7.657601e-06, 8.427307e-06, 5.016763e-06, 0.0008929056, 0.008385345, 0.5352973, 0.06937464]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'heritage foundations voter fraud database points to a problem'
GOLD SEQ: 	 b'heritage foundations voter fraud database points to a problem'
PRED SEQ:	 b'heritage foundations voter fraud database points to a campaign'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0010761834, 0.0027663854, 0.0003378491, 0.00033957858, 0.00024718148, 0.04167846, 5.0817966e-05, 0.034451596, 0.8880957]
GOLD TOK: 	 []
PRED TOK: 	 [['campaign']]
################################################################################
IN SEQ: 	 b'ben carson tries to help baltimore , immediately gets sick ##ening welcome'
GOLD SEQ: 	 b'ben carson tries to help baltimore , immediately gets sick ##ening welcome'
PRED SEQ:	 b'ben carson tries to help baltimore , immediately gets welcome welcome'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.070882e-06, 2.9429489e-06, 5.319961e-06, 1.0629664e-06, 4.6049504e-06, 6.039603e-06, 8.5618746e-07, 0.00015213135, 4.140286e-05, 0.9996605, 0.9994783, 5.9746977e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['welcome']]
################################################################################
IN SEQ: 	 b'chuck sc ##hum ##er sinks to lowest approval rating ever in new york'
GOLD SEQ: 	 b'chuck sc ##hum ##er sinks to lowest approval rating ever in new york'
PRED SEQ:	 b'chuck sc ##hum ##er to lowest approval rating ever in new york'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [5.9744402e-06, 2.4389262e-06, 4.6553414e-06, 3.383883e-06, 0.97171366, 1.3123303e-05, 0.00069273874, 0.0010398141, 3.4741076e-06, 0.018106405, 3.5808237e-06, 4.4007015e-06, 3.9536912e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'[ video ] watch sick bill ma ##her make fun of a 9 year old boy for writing a letter to trump'
GOLD SEQ: 	 b'[ video ] watch sick bill ma ##her make fun of a 9 year old boy for writing a letter to trump'
PRED SEQ:	 b'[ video ] watch sick bill ma ##her make fun of a 9 year old boy for writing a letter to trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [3.7682162e-06, 3.2256128e-06, 4.8424686e-06, 3.377609e-06, 0.98172414, 1.131552e-06, 9.118919e-07, 1.1912584e-06, 1.3897314e-06, 3.1273046e-06, 8.646457e-07, 1.502609e-06, 2.3301136e-06, 1.4003907e-06, 1.470825e-06, 0.00010460929, 2.2154516e-06, 9.271862e-07, 9.000011e-07, 1.6613277e-06, 8.9347606e-07, 1.14706045e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'top fbi lawyer is under investigation over the leaking incident'
GOLD SEQ: 	 b'top fbi lawyer is under investigation over the leaking incident'
PRED SEQ:	 b'fbi lawyer is under investigation over the leaking incident'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.73104286, 0.00025510686, 0.00020480138, 9.450856e-05, 1.8819966e-05, 1.796809e-05, 0.00016924283, 0.00014173548, 0.032139998, 0.0070174476]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'bombs ##hell : democrats busted intentionally using fake russian propaganda against trump , its bad'
GOLD SEQ: 	 b'bombs ##hell : democrats busted intentionally using fake russian propaganda against trump , its bad'
PRED SEQ:	 b'bombs ##hell : democrats busted intentionally using fake russian propaganda against trump , its democrats'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00019430002, 0.0004710971, 1.4731956e-05, 0.0002821328, 0.0020360702, 0.0006190358, 2.6813994e-05, 0.008766778, 0.00044710847, 0.0052186945, 2.704546e-05, 4.366111e-05, 9.316711e-06, 0.027321197, 0.8269231]
GOLD TOK: 	 []
PRED TOK: 	 [['democrats']]
################################################################################
IN SEQ: 	 b'just in : trump finally makes his move against hillary clinton'
GOLD SEQ: 	 b'just in : trump finally makes his move against hillary clinton'
PRED SEQ:	 b'just in : trump makes his move against hillary clinton'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.354751, 2.3395469e-05, 3.9591514e-06, 3.841762e-05, 0.5032361, 1.6336882e-05, 3.8657974e-05, 0.00013723578, 2.3600373e-05, 2.1403554e-05, 7.5830962e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'harvey texas monday morning fe ##ma : citizens we need your help , this is a landmark event !'
GOLD SEQ: 	 b'harvey texas monday morning fe ##ma : citizens we need your help , this is a landmark event !'
PRED SEQ:	 b'harvey texas monday morning fe ##ma : citizens we need your help , this is a event !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.014069195, 0.016166564, 0.000959745, 0.0001402189, 0.0015527171, 0.00013558268, 0.0013198666, 0.024966171, 0.0033986387, 0.00016730189, 0.005176264, 0.00012495017, 1.9331137e-05, 0.0021853268, 0.0022561215, 0.0007588804, 0.7090142, 0.0069569033, 0.020814195]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'hum ##a emails reveal transmission of classified info with clinton clinton foundation donors receiving special treatment'
GOLD SEQ: 	 b'hum ##a emails reveal transmission of classified info with clinton clinton foundation donors receiving special treatment'
PRED SEQ:	 b'hum ##a emails reveal transmission of classified info with clinton clinton foundation donors receiving special treatment'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5670082, 0.4696649, 0.0003281782, 0.03240427, 0.000257217, 1.3169089e-05, 0.002771933, 0.00041849056, 3.3894146e-05, 0.0009780034, 3.776847e-05, 4.2727013e-05, 0.003576042, 0.008392913, 0.139555, 0.1337825]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'maxi ##ne waters gets put in her place after mocking president trump on the house floor'
GOLD SEQ: 	 b'maxi ##ne waters gets put in her place after mocking president trump on the house floor'
PRED SEQ:	 b'maxi ##ne waters gets put in her place after president trump on the house floor'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.2107741e-05, 2.7186084e-06, 1.3375563e-06, 4.3301e-06, 2.306209e-06, 1.0305275e-06, 2.2353545e-06, 2.7955007e-06, 1.9239303e-06, 0.9991991, 3.7410937e-05, 1.8147853e-06, 1.3182105e-06, 8.775854e-07, 1.0927299e-06, 1.057353e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'u . s . senate sends trump final bill to san ##ction russia , putin re ##tal ##iate ##s with bold move'
GOLD SEQ: 	 b'u . s . senate sends trump final bill to san ##ction russia , putin re ##tal ##iate ##s with bold move'
PRED SEQ:	 b'u . s . senate sends trump final bill to san ##ction russia , putin re ##tal ##iate with bold move'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0020453648, 0.00021632634, 0.00021630776, 9.412659e-05, 3.640122e-05, 0.00015011642, 3.9965314e-05, 0.011726129, 0.00016344209, 3.174262e-05, 0.050356098, 0.11780459, 0.025314044, 4.6168407e-06, 0.063498914, 0.52217543, 0.47488588, 0.56838715, 0.3759756, 0.00016608946, 0.025162823, 0.0021888274]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'president trump sum ##med up last nights victories with just 3 awesome t ##wee ##ts'
GOLD SEQ: 	 b'president trump sum ##med up last nights victories with just 3 awesome t ##wee ##ts'
PRED SEQ:	 b'president trump sum ##med up last nights victories with just 3 t ##wee ##ts with 3 t ##wee ##ts trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [7.489411e-07, 7.796992e-07, 8.100517e-07, 7.769098e-07, 5.9344694e-07, 8.172931e-07, 6.87869e-07, 9.802317e-07, 6.768855e-07, 7.440429e-06, 8.2383673e-07, 0.99993086, 6.0582204e-07, 6.405728e-07, 6.126325e-07]
GOLD TOK: 	 []
PRED TOK: 	 [['with', '3', 't', '##wee', '##ts', 'trump']]
################################################################################
IN SEQ: 	 b'worlds sex ##iest fire ##fighter is gaining a huge online following'
GOLD SEQ: 	 b'worlds sex ##iest fire ##fighter is gaining a huge online following'
PRED SEQ:	 b'worlds sex ##iest fire ##fighter is gaining a online following'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.046686914, 0.38145414, 0.39452302, 9.999199e-05, 3.9622035e-05, 0.003516843, 0.0080150785, 2.365398e-05, 0.4199067, 0.00014578874, 3.7359743e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : road rage ##r tries to take out biker biker gets last laugh'
GOLD SEQ: 	 b'watch : road rage ##r tries to take out biker biker gets last laugh'
PRED SEQ:	 b'watch : road rage ##r tries to take out biker biker gets last laugh'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0059963157, 0.0002365581, 0.0012283699, 0.004741672, 0.009719605, 0.034628067, 0.00021248155, 0.0036521568, 0.013724636, 0.43430996, 0.4150236, 0.13597797, 0.009988171, 0.0028472114]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'kid rock just released his campaign slogan'
GOLD SEQ: 	 b'kid rock just released his campaign slogan'
PRED SEQ:	 b'kid rock released his campaign slogan'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03264888, 0.0017166906, 0.5967657, 3.1126485e-05, 9.443902e-05, 0.000102286096, 0.002719677]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'one of the biggest country in the world banned justin bi ##eber ! should the usa do the same ?'
GOLD SEQ: 	 b'one of the biggest country in the world banned justin bi ##eber ! should the usa do the same ?'
PRED SEQ:	 b'one of the biggest country in the world banned justin bi ##eber ! should the usa do the same ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.05346126, 0.0008009261, 0.00031195366, 0.13298962, 0.03802402, 3.7258906e-05, 4.796733e-05, 0.022852292, 0.25074312, 0.00017225658, 1.8221825e-05, 7.233404e-05, 0.042614166, 0.12923107, 0.011240961, 0.045025226, 0.003480567, 4.125203e-05, 0.0026083977, 0.011974812]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : snow ##fl ##ake brand ##ish ##es communist flag at trump rally immediately regrets it'
GOLD SEQ: 	 b'watch : snow ##fl ##ake brand ##ish ##es communist flag at trump rally immediately regrets it'
PRED SEQ:	 b'watch : snow ##fl ##ake ##es brand ##ish ##es communist flag at trump rally immediately regrets it'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00013765358, 1.2121814e-05, 8.039694e-06, 6.2167537e-06, 8.506892e-06, 5.997497e-05, 0.00018047779, 0.00037531866, 0.8906423, 0.00047251425, 5.1953425e-06, 1.911929e-05, 7.102102e-05, 0.004365432, 0.00037822916, 0.00039517457]
GOLD TOK: 	 []
PRED TOK: 	 [['##es']]
################################################################################
IN SEQ: 	 b'roger stones cruel response to mccain : karma about to get you , and you will burn in hell for all eternity'
GOLD SEQ: 	 b'roger stones cruel response to mccain : karma about to get you , and you will burn in hell for all eternity'
PRED SEQ:	 b'roger stones response to mccain : karma about to get you , and you will burn in hell for all eternity'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [7.1511437e-07, 8.871886e-07, 0.9999224, 1.1517676e-06, 5.691703e-07, 6.9521974e-07, 5.9322963e-07, 6.286469e-07, 6.25209e-07, 5.525096e-07, 6.2092306e-07, 5.8955357e-07, 5.2862316e-07, 6.0563485e-07, 6.566252e-07, 6.177773e-07, 5.631007e-07, 5.559229e-07, 7.3403237e-07, 5.5386755e-07, 5.748293e-07, 5.7897427e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : old video surfaces where hillary admits to speaking with foreign leaders about stopping trump'
GOLD SEQ: 	 b'watch : old video surfaces where hillary admits to speaking with foreign leaders about stopping trump'
PRED SEQ:	 b'watch : old video surfaces where hillary admits to speaking with foreign leaders about stopping trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0057869614, 8.355346e-05, 0.102529585, 0.001587825, 0.38456383, 0.0006453075, 0.0036089246, 0.16025762, 3.1717325e-05, 0.00088313164, 3.954612e-05, 0.024822382, 0.0010871491, 0.0004934521, 0.0064404947, 0.0023840384]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'democrats dec ##imated after bombs ##hell news , fake trump dos ##sier tied to hillary'
GOLD SEQ: 	 b'democrats dec ##imated after bombs ##hell news , fake trump dos ##sier tied to hillary'
PRED SEQ:	 b'democrats dec ##imated after bombs ##hell news , trump dos ##sier tied to hillary'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00028451227, 0.0008662351, 0.0013046309, 3.4877234e-05, 0.01411478, 0.016926382, 0.00017004205, 4.6338764e-06, 0.7121728, 8.7374254e-05, 0.00028047856, 6.7642286e-05, 8.223231e-05, 3.4748928e-06, 3.0291603e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'chris pratt credits jesus christ at teen choice awards [ video ]'
GOLD SEQ: 	 b'chris pratt credits jesus christ at teen choice awards [ video ]'
PRED SEQ:	 b'chris pratt credits jesus at teen choice awards [ video ]'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.4101394e-05, 0.00023187071, 0.008763619, 0.0063025216, 0.9624566, 4.6085706e-06, 3.821896e-06, 3.1046582e-06, 2.0316102e-06, 3.6115075e-06, 6.8961876e-06, 1.9829245e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'not fair : right after getting fired from fbi , james come ##y just got something insane'
GOLD SEQ: 	 b'not fair : right after getting fired from fbi , james come ##y just got something insane'
PRED SEQ:	 b'not : after getting fired from fbi , james come ##y just got something insane'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2386836, 0.64687693, 0.00014112241, 0.0010273334, 4.7565263e-06, 3.098498e-05, 1.6690787e-05, 6.206541e-06, 0.00050209736, 8.540951e-06, 0.0009956629, 0.017232826, 0.010417262, 0.0904742, 0.029097078, 0.02936337, 0.10404709]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'somali muslims take over small tennessee town forcing absolute terror on terrified christians there'
GOLD SEQ: 	 b'somali muslims take over small tennessee town forcing absolute terror on terrified christians there'
PRED SEQ:	 b'somali muslims take over small tennessee town forcing absolute terror on christians there'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.029495904, 0.009752074, 0.0028610306, 0.00024165359, 0.035370916, 0.01955907, 0.0025653862, 0.021737568, 0.081246756, 0.11494686, 0.0006771755, 0.5936329, 0.0011649977, 0.0006727483]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'video : polish crowd shouts epic chant as trump gets ready to speak'
GOLD SEQ: 	 b'video : polish crowd shouts epic chant as trump gets ready to speak'
PRED SEQ:	 b'video : polish crowd shouts chant as trump gets ready to speak'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.3692667e-06, 1.3723306e-06, 6.967667e-05, 5.0975973e-06, 0.00016067692, 0.9991716, 0.00022210438, 1.680792e-06, 9.822523e-06, 2.5905347e-06, 1.558998e-06, 6.9887454e-07, 1.3978448e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'chicago gangs best ##ed as free samples plague city'
GOLD SEQ: 	 b'chicago gangs best ##ed as free samples plague city'
PRED SEQ:	 b'chicago gangs are characterized as free samples plague city'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.2319986e-05, 1.014396e-05, 0.9994686, 0.998648, 1.6633501e-05, 0.00016675467, 5.3356525e-05, 5.4733093e-05, 4.361482e-06]
GOLD TOK: 	 []
PRED TOK: 	 [['are', 'characterized']]
################################################################################
IN SEQ: 	 b'anderson cooper fires back following trump ##s explosive press conference [ video ]'
GOLD SEQ: 	 b'anderson cooper fires back following trump ##s explosive press conference [ video ]'
PRED SEQ:	 b'anderson cooper fires back following trump ##s press conference [ video ]'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [4.2655424e-06, 4.258056e-06, 3.2347994e-05, 2.287605e-05, 1.3687345e-05, 4.1399304e-05, 6.629478e-06, 0.9997538, 1.2919423e-06, 9.562361e-07, 3.0611952e-06, 2.3195337e-06, 1.0071972e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'satan ##ic monument was slated to be first on public property in us history . but fed - up city says no .'
GOLD SEQ: 	 b'satan ##ic monument was slated to be first on public property in us history . but fed - up city says no .'
PRED SEQ:	 b'satan ##ic monument was slated to be first on public property in us history . but city says no .'
