################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'african en ##sl ##ave ##ment of whites was so , americas first war was over it .'
GOLD SEQ: 	 b'african en ##sl ##ave ##ment of whites was so bad , americas first war was over it .'
PRED SEQ:	 b'african en ##sl ##ave ##ment of whites was so , americas first war was over it .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.45824113, 0.6777481, 0.70470035, 0.7326992, 0.5602947, 0.591594, 0.3297655, 0.28289068, 0.31125757, 0.76962507, 0.2936069, 0.40296245, 0.49050322, 0.3919651, 0.40924624, 0.43656296, 0.44817376]
GOLD TOK: 	 [['bad']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'cop celebrities and b ##lm for their silence on nyc female cop assassination [ video ]'
GOLD SEQ: 	 b'cop rip ##s celebrities and b ##lm for their silence on nyc female cop assassination [ video ]'
PRED SEQ:	 b'cop celebrities and b ##lm for their silence on nyc female cop ##ci assassination [ video ]'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.16883358, 0.14775264, 0.2512937, 0.19268505, 0.12904255, 0.29377577, 0.17171499, 0.10273899, -0.1136408, 0.24887182, 0.26408482, 0.09806268, 0.22753748, 0.08858222, 0.060596414, -0.0034017898]
GOLD TOK: 	 [['rip', '##s']]
PRED TOK: 	 [['##ci']]
################################################################################
IN SEQ: 	 b'right before health care vote , still - hospitalized sc ##alis ##e did something with six words before six words'
GOLD SEQ: 	 b'right before health care vote , still - hospitalized sc ##alis ##e did something incredible with six words'
PRED SEQ:	 b'right before health care vote , sc ##alis ##e did something with six words before six words'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.13737819, 0.082364574, 0.43879443, 0.38658231, 0.37561014, 0.5036938, 0.33851904, 0.17023487, 0.33208257, 0.24522156, 0.38808018, -0.09423262, -0.15665689, -0.19028817, -0.21878156, -0.07268597, -0.06283508, -0.028438542, 0.10947348, -0.00033435225]
GOLD TOK: 	 [['incredible']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'kill shot : president trump just gave mitch mcconnell bad news minutes ago'
GOLD SEQ: 	 b'kill shot : president trump just gave mitch mcconnell very bad news minutes ago'
PRED SEQ:	 b'kill : president trump just gave mitch mcconnell bad news minutes ago'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.15866199, 0.09620324, 0.006694004, 0.2939515, 0.21969719, 0.25623795, 0.022714466, 0.38099077, 0.23352838, 0.07754034, 0.109047696, 0.17877121, -0.10974243]
GOLD TOK: 	 [['very']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'california sets eyes on 2nd amendment as legislators run out of gun restrictions'
GOLD SEQ: 	 b'california sets eyes on 2nd amendment as legislators literally run out of gun restrictions'
PRED SEQ:	 b'california sets eyes on 2nd amendment as legislators run out of gun restrictions'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12237848, -0.046586245, -0.09771308, -0.23492827, 0.17354916, -0.0427911, 0.013550416, -0.16414386, -0.16387872, -0.346647, -0.26646614, -0.056708753, -0.10232154]
GOLD TOK: 	 [['literally']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ms ##m believes violence from the left is acceptable'
GOLD SEQ: 	 b'ms ##m believes violence from the left is acceptable'
PRED SEQ:	 b'ms ##m believes violence from the left is acceptable'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.107250296, -0.026861608, 0.12509713, 0.15372273, 0.025636159, 0.26181424, 0.13716514, -0.024584692, 0.04897922]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'stephen king blocks trump from seeing his new movie , soon said to was a really bad idea'
GOLD SEQ: 	 b'stephen king blocks trump from seeing his new movie , soon realizes that was a really bad idea'
PRED SEQ:	 b'stephen king blocks trump from seeing his new movie , soon said to was a really bad idea'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.26101813, -0.020093504, 0.31682593, 0.20611766, 0.110980146, 0.4567868, 0.21910694, 0.25505683, 0.1830039, 0.46755692, 0.030080613, -0.013990946, 0.12523861, 0.20347857, 0.29868996, 0.3577492, 0.4097905, 0.31780568]
GOLD TOK: 	 [['realizes', 'that']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'is trump considering a recess appointment to replace jeff sessions ?'
GOLD SEQ: 	 b'is trump actually considering a recess appointment to replace jeff sessions ?'
PRED SEQ:	 b'is trump considering a recess appointment to replace jeff sessions ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.038145848, 0.10538976, 0.17582245, 0.24600753, 0.37034547, 0.1629942, 0.17227241, 0.25892782, 0.20129558, 0.07613821, -0.08635101]
GOLD TOK: 	 [['actually']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'flower vendors violent arrest is said to have been accused of getting in a police state state'
GOLD SEQ: 	 b'flower vendors violent arrest proves we live in a police state'
PRED SEQ:	 b'flower vendors arrest is said to have been accused of getting in a police state state'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.2547176, 0.24209797, 0.27684712, 0.24636711, 0.17675012, 0.19697107, 0.10493365, 0.112475246, 0.22585261, 0.20284641, 0.11536619, 0.14390501, 0.09749233, 0.13794164, 0.24800372, 0.37103605, 0.46043354]
GOLD TOK: 	 [['proves', 'we', 'live']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'new obama staff memoir reveals fra ##tty drinking and woman ##izing in the white house'
GOLD SEQ: 	 b'new obama staff memoir reveals fra ##tty drinking and woman ##izing in the white house'
PRED SEQ:	 b'new obama staff memoir claims to fra ##tty drinking and woman ##izing in the white house'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.08225819, -0.05759658, 0.26255924, 0.22155651, 0.18840772, 0.19242236, -0.1598318, 0.067353025, 0.10719816, 0.15393905, -0.025059054, 0.06289844, 0.25194982, -0.1493483, -0.0016636178]
GOLD TOK: 	 []
PRED TOK: 	 [['claims', 'to']]
################################################################################
IN SEQ: 	 b'wal ##mart , amazon feud'
GOLD SEQ: 	 b'wal ##mart , amazon feud heats up'
PRED SEQ:	 b'wal ##mart , amazon killing'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.0038722008, -0.09720471, 0.04258555, 0.03115908, -0.12996456]
GOLD TOK: 	 [['heats', 'up']]
PRED TOK: 	 [['killing']]
################################################################################
IN SEQ: 	 b'trump claims victory after supreme court says parts of his travel ban can go into effect now'
GOLD SEQ: 	 b'trump claims huge victory after supreme court says parts of his travel ban can go into effect now'
PRED SEQ:	 b'trump claims victory after supreme court says parts of his travel ban can go into effect now'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12509179, 0.19620007, 0.36559606, 0.26597324, 0.28301528, 0.16384867, 0.25512102, 0.3924415, 0.13001081, 0.19009082, 0.24260704, 0.25032663, 0.10014013, 0.21390906, 0.1852939, 0.07652097, 0.15082939]
GOLD TOK: 	 [['huge']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'media : it is personal when trump defend ##s himself from fake news'
GOLD SEQ: 	 b'media : it is personal when trump defend ##s himself from our fake news'
PRED SEQ:	 b'media : it is personal when trump defend ##s himself from fake news'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07756844, -0.17647678, -0.10238439, -0.037910648, 0.18254909, 0.06902615, 0.18765679, 0.10563183, -0.1971452, -0.04113835, 0.020071745, 0.044420093, -0.030165642]
GOLD TOK: 	 [['our']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'deaths from naval ship collision reveal truth'
GOLD SEQ: 	 b'deaths from naval ship collision reveal chilling truth'
PRED SEQ:	 b'deaths from naval ship collision reveal'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1240185, 0.20666628, 0.29442757, 0.21480283, 0.29788896, 0.28773934, 0.1886899]
GOLD TOK: 	 [['chilling']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'right after spice ##r quit , sarah hu ##ck ##abe ##e got the best job of her life'
GOLD SEQ: 	 b'right after spice ##r quit , sarah hu ##ck ##abe ##e just got the best job of her life'
PRED SEQ:	 b'right after spice ##r quit , sarah hu ##ck ##abe ##e got the best job of her life'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.32451612, 0.2790448, 0.4726751, 0.25109476, 0.50419825, 0.52261937, 0.48486838, 0.20346208, 0.18694237, 0.23880497, 0.29319918, 0.26099753, 0.44683832, 0.40043592, 0.1617847, -0.13009365, 0.031608403, 0.108999245]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'whoa ! atheist ##s demand county burial bench with bible verse , county com ##pl ##ies'
GOLD SEQ: 	 b'whoa ! atheist ##s demand county remove burial bench with bible verse , county com ##pl ##ies'
PRED SEQ:	 b'whoa ! atheist ##s demand county burial bench with bible verse , county com ##pl ##ies'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.1645338, -0.30462974, -0.15755686, -0.2826787, 0.07716282, 0.09602353, 0.22371592, 0.15570557, -0.052364066, 0.064735115, -0.00049063563, 0.3274675, 0.026386932, -0.10075917, -0.3256285, -0.07230063]
GOLD TOK: 	 [['remove']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'susan rice abruptly backs out of testimony on russia col ##lusion look what excuse democrats give democrats give out of testimony on russia col ##lusion'
GOLD SEQ: 	 b'susan rice abruptly backs out of testimony on russia col ##lusion look what lame excuse democrats give'
PRED SEQ:	 b'susan rice abruptly backs out of testimony on russia col ##lusion look what democrats give democrats give out of testimony on russia col ##lusion'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
PRED DIST: 	 [0.022757351, 0.12425944, 0.09217666, -0.004752882, 0.053879827, -0.1385752, 0.24084768, -0.38049787, -0.12819894, 0.18098813, 0.18610163, 0.1872521, -0.012724813, -0.24505275, -0.28970465, -0.1309287, -0.14822337, -0.13550982, -0.2198934, -0.3160027, 0.045843504, -0.47863075, -0.18332243, 0.16003779, 0.065656506]
GOLD TOK: 	 [['lame']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'black professor who made sick demand of white students just got a massive dose of karma'
GOLD SEQ: 	 b'racist black professor who made sick demand of white students just got a massive dose of karma'
PRED SEQ:	 b'black professor who made demand of white students just got a massive dose of karma'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2038678, 0.12392602, -0.03777048, 0.07944228, 0.15182847, 0.22577816, 0.14036377, 0.0101478435, -0.00701046, 0.13534333, 0.16325623, 0.17811102, 0.28945816, 0.18264021, 0.016134486, 0.036905944]
GOLD TOK: 	 [['racist']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'right after failing healthcare again , mcconnell just learned his fate'
GOLD SEQ: 	 b'right after failing healthcare again , mcconnell just learned his miserable fate'
PRED SEQ:	 b'right after failing healthcare again , mcconnell learned his fate'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.025787085, 0.16376176, 0.33094394, 0.21474001, 0.10178381, 0.29033446, -0.18068844, 0.12673861, 0.23728314, 0.11087687, 0.16405067]
GOLD TOK: 	 [['miserable']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'scary report on d ##nc co ##ffer ##s why dem ##s should never go near a budget . rn ##c on the other hand'
GOLD SEQ: 	 b'scary report on d ##nc co ##ffer ##s proves why dem ##s should never go near a budget . rn ##c on the other hand'
PRED SEQ:	 b'report on d ##nc co ##ffer ##s why dem ##s should never go near a budget . rn ##c on the other hand'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.02922462, 0.10485746, -0.12630245, 0.18234344, -0.0386559, 0.12783402, 0.19807798, 0.20122667, 0.1676674, -9.795278e-05, 0.051724434, 0.21796307, 0.087004766, 0.16773024, 0.020520553, 0.040846407, 0.071330115, 0.15639278, 0.37162578, 0.33791834, -0.1891266, 0.043221593, -0.23684946, -0.258507]
GOLD TOK: 	 [['proves']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'till ##erson : us to continue pressure on n . korea'
GOLD SEQ: 	 b'till ##erson : us to continue peaceful pressure on n . korea'
PRED SEQ:	 b'till ##erson : us to continue pressure on n . korea'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.32562062, 0.3288497, 0.3024572, 0.24000105, 0.29504913, 0.30959803, 0.2766108, 0.017275764, 0.3465895, 0.27428043, 0.33905753]
GOLD TOK: 	 [['peaceful']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : panel completely imp ##lo ##des when sally ko ##hn melt ##s down over trump supporter who defend ##s t ##wee ##ts'
GOLD SEQ: 	 b'watch : panel completely imp ##lo ##des when sally ko ##hn melt ##s down over trump supporter who defend ##s t ##wee ##ts'
PRED SEQ:	 b'watch : panel completely imp ##lo ##des when sally ko ##hn claims when trump supporter who defend ##s t ##wee ##ts'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.0056125373, 0.036608316, 0.113766946, 0.11199221, -0.027932648, 0.09542578, -0.06334457, 0.16780233, 0.20411915, 0.058994263, 0.010967568, 0.034195945, -0.095529236, -0.13444415, 0.1812918, 0.16667277, 0.04751186, -0.01640506, -0.23084573, -0.33888805, -0.3303715, -0.34945393, -0.285371]
GOLD TOK: 	 []
PRED TOK: 	 [['claims', 'when']]
################################################################################
IN SEQ: 	 b'watch : cop hog ties ga ##tor like a person ninja could you do this ?'
GOLD SEQ: 	 b'watch : cop hog ties ga ##tor like a fr ##ick ##in ninja could you do this ?'
PRED SEQ:	 b'watch : cop hog ties ga ##tor like a person ninja could you do this ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.008119479, -0.026707426, -0.07347739, -0.04424201, -0.054865167, 0.2324195, 0.18786457, 0.038712487, 0.12184045, 0.14837024, 0.021247193, 0.0846852, -0.2014412, -0.047948778, 0.13401085, -0.042203054]
GOLD TOK: 	 [['fr', '##ick', '##in']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'dem ##s bad news : trump on democratic party car ##cas ##s'
GOLD SEQ: 	 b'dem ##s bad news : trump feast ##ing on democratic party car ##cas ##s'
PRED SEQ:	 b'dem ##s bad news : trump on democratic party car ##cas ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.3249368, -0.4148054, 0.041874103, -0.24970663, -0.05587431, -0.03061387, -0.30128565, 0.0075199828, -0.16961786, 0.11148221, -0.11380488, -0.04364617]
GOLD TOK: 	 [['feast', '##ing']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'muslim refugees were assault ##ing women without consequence then the soldiers of odin showed up'
GOLD SEQ: 	 b'muslim refugees were assault ##ing women without consequence then the soldiers of odin showed up'
PRED SEQ:	 b'muslim refugees were killed women without consequence then the soldiers of odin showed up'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1934769, 0.08181068, 0.07346818, 0.17626056, 0.07465606, 0.15871799, 0.16424559, 0.3203141, 0.19636424, 0.10679567, 0.123825006, 0.009362012, -0.038795218, -0.25442883, -0.3817104]
GOLD TOK: 	 []
PRED TOK: 	 [['killed']]
################################################################################
IN SEQ: 	 b'go ##rka challenges ex - obama staff ##er to debate , asks jake tap ##per to'
GOLD SEQ: 	 b'go ##rka challenges ex - obama staff ##er to debate , asks jake tap ##per to moderate'
PRED SEQ:	 b'go ##rka challenges ex - obama staff ##er to debate ,'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.104640804, -0.082885355, 0.12670913, 0.2547202, 0.1320722, 0.0666208, 0.3055756, 0.21663384, 0.19359219, 0.1299486, 0.49734855, 0.18634635, 0.21578205, -0.0018145591, 0.3048536, 0.23627536]
GOLD TOK: 	 [['moderate']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mad dog matt ##is just issued threat to n . korea stu ##ns kim jong un with just three words matt'
GOLD SEQ: 	 b'mad dog matt ##is just issued terrifying threat to n . korea stu ##ns kim jong un with just three words'
PRED SEQ:	 b'mad dog matt ##is just issued threat to n . korea , kim jong un with three words matt'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.11518582, 0.16865729, 0.37732255, 0.23745468, 0.273064, 0.25305533, 0.35672, 0.35020405, 0.22555545, 0.1588784, 0.18990567, 0.47386748, 0.35642046, 0.48920226, 0.55458707, 0.36403498, 0.00985276, 0.12085974, 0.19925179, 0.06847322, 0.35543674]
GOLD TOK: 	 [['terrifying']]
PRED TOK: 	 [[',']]
################################################################################
IN SEQ: 	 b'breaking : s ##no ##pes really wants you to donate cash after getting dealt death ##bl ##ow'
GOLD SEQ: 	 b'breaking : s ##no ##pes really wants you to donate cash after getting dealt massive death ##bl ##ow'
PRED SEQ:	 b'breaking : s ##no ##pes really wants you to donate cash after getting dealt'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.15552014, -0.3108647, -0.35217416, -0.3417744, -0.32767785, -0.21252087, -0.15958682, -0.3196714, -0.005001083, 0.011650607, 0.022364303, -0.16747747, -0.21177222, -0.2172035, -0.2012275, -0.20070449, -0.18268943]
GOLD TOK: 	 [['massive']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'7 things you need to know about the results of the trump - putin meeting'
GOLD SEQ: 	 b'7 things you need to know about the results of the trump - putin meeting'
PRED SEQ:	 b'7 things you need to know about the results of the trump - putin meeting'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.37559718, -0.3657955, -0.34439015, -0.23934276, -0.47740608, -0.4874723, -0.37718886, -0.30976772, -0.3477329, -0.38241658, -0.23325762, -0.3530272, -0.3303671, -0.52931976, -0.2987674]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'muslims across america just got the worst news of their lives moments after michigan terror attack today'
GOLD SEQ: 	 b'muslims across america just got the worst news of their lives moments after michigan terror attack today'
PRED SEQ:	 b'muslims across america just got the worst news of their lives moments after michigan terror attack today'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11971137, -0.014599472, 0.00087471306, 0.1407388, 0.061984837, 0.30372205, 0.2489992, 0.044901192, -0.08212352, 0.17549367, 0.11976627, 0.14816436, -0.09861441, 0.038761005, 0.2333376, 0.1426421, 0.044282556]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'russia totally caves in syria'
GOLD SEQ: 	 b'russia totally caves in syria showdown'
PRED SEQ:	 b'russia totally caves in syria'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.2925364, 0.10372457, 0.11458886, 0.03591217, 0.15404399]
GOLD TOK: 	 [['showdown']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'feminist ##s : democrat women in senate ignore female reformer ##s of islam'
GOLD SEQ: 	 b'fake feminist ##s : democrat women in senate ignore female reformer ##s of islam'
PRED SEQ:	 b'feminist ##s : democrat women in senate ignore the reformer ##s of islam'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.07775004, -0.0959334, -0.18611807, -0.20354001, -0.038028013, -0.10125723, -0.18603724, -0.10894658, -0.16990148, -0.12028516, -0.05633889, -0.07014525, -0.12632409]
GOLD TOK: 	 [['fake']]
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'watch ! this politically incorrect car stick ##er is beyond epic has liberals melting down'
GOLD SEQ: 	 b'watch ! this politically incorrect car stick ##er is beyond epic has liberals melting down'
PRED SEQ:	 b'watch ! this politically incorrect car stick ##er is beyond epic has liberals melting down'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.08091274, -0.26189572, -0.084129214, -0.23500846, -0.3643335, -0.22279242, -0.2939716, -0.10545536, -0.038716845, 0.027682662, -0.1879578, -0.44415298, -0.32547653, -0.16283682, -0.38114905]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the problem with illegal immigration illustrated so a liberal can understand'
GOLD SEQ: 	 b'the problem with illegal immigration illustrated so even a liberal can understand'
PRED SEQ:	 b'the problem with illegal immigration illustrated so a liberal can understand'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.09126198, -0.015567496, -0.0046978146, 0.32619414, 0.18366098, 0.19439475, 0.039495915, 0.0502107, -0.18266535, -0.13081706, 0.0380224]
GOLD TOK: 	 [['even']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##er ##the purge has begun !'
GOLD SEQ: 	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##ers ##the purge has begun !'
PRED SEQ:	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##er ##the purge has begun !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.03404513, -0.104873925, 0.11594551, 0.09623649, -0.084749326, 0.26148978, 0.22917986, -0.0028798655, -0.06725349, 0.05609162, 0.15244061, -0.022337463, -0.069268405, -0.093501225, -0.19498104, -0.15662272, -0.19141322, -0.04510212, 0.17188959, 0.07194355, 0.29820895, -0.09652498]
GOLD TOK: 	 [['##ers']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'exposed : sources claim warren , harris behind the united states cnn hit piece'
GOLD SEQ: 	 b'exposed : sources claim warren , harris behind de ##bu ##nk ##ed cnn hit piece'
PRED SEQ:	 b'exposed : sources claim warren , harris behind the united states cnn'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.078404896, 0.08270618, 0.030681789, 0.11844596, 0.42393845, 0.45959032, 0.3616597, 0.14686611, 0.44023705, 0.52068985, 0.25941563, 0.14778395, 0.3177668, 0.21341777]
GOLD TOK: 	 [['de', '##bu', '##nk', '##ed']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'video of woman stealing from ellen ##s show goes viral'
GOLD SEQ: 	 b'video of woman stealing from ellen ##s show goes viral'
PRED SEQ:	 b'video of woman stealing from ellen ##s show goes viral'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.16395748, 0.41194338, 0.4479164, 0.46402094, 0.355285, 0.33613306, 0.3195818, 0.30643705, 0.2873841, 0.22089827]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'teen jumps from moving car to escape race - based attempted rape by 3 males at gun ##point'
GOLD SEQ: 	 b'teen jumps from moving car to escape ho ##rri ##fying race - based attempted rape by 3 males at gun ##point'
PRED SEQ:	 b'teen jumps from moving car to escape attempted rape by 3 males at gun ##point'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
