################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
PRED DIST: 	 [0.040901165, -0.072679, 0.04574027, 0.27800125, 0.33099866, 0.099638656, -0.17165807, 0.22231054, -0.009237222, -0.09074639, 0.07586845, -0.17182773, -0.040402967, -0.10115221]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'deaths from naval ship collision reveal chilling truth'
GOLD SEQ: 	 b'deaths from naval ship collision reveal chilling truth'
PRED SEQ:	 b'deaths from naval ship collision reveal'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.45504677, 0.3500101, 0.28885305, 0.38344842, 0.4210676, 0.40923363, 0.3963604, 0.42320725]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'right after spice ##r quit , sarah hu ##ck ##abe ##e just got the best job of her life'
GOLD SEQ: 	 b'right after spice ##r quit , sarah hu ##ck ##abe ##e just got the best job of her life'
PRED SEQ:	 b'right after spice ##r quit , sarah hu ##ck ##abe ##e just got the best job of her life'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.12774384, 0.17315762, 0.3539403, 0.39925694, 0.3809839, -0.0465917, 0.21326101, 0.3184588, 0.09191613, 0.12422407, 0.5188244, 0.073862806, 0.069346264, 0.5121993, 0.24733312, 0.09549269, 0.20152017, 0.005320862, 0.226463]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'whoa ! atheist ##s demand county remove burial bench with bible verse , county com ##pl ##ies'
GOLD SEQ: 	 b'whoa ! atheist ##s demand county remove burial bench with bible verse , county com ##pl ##ies'
PRED SEQ:	 b'whoa ! atheist ##s demand county remove burial bench with bible verse , county com ##pl ##ies'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.14810468, -0.15099162, -0.15174444, 0.115219414, -0.09494467, -0.14086807, 0.09243852, 0.01700719, 0.12484163, 0.14156029, 0.1289209, 0.28573483, -0.13530597, -0.2065597, 0.19968273, 0.12096129, 0.17198908]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'susan rice abruptly backs out of testimony on russia col ##lusion look what lame excuse democrats give'
GOLD SEQ: 	 b'susan rice abruptly backs out of testimony on russia col ##lusion look what lame excuse democrats give'
PRED SEQ:	 b'susan rice abruptly backs out of testimony on russia col ##lusion look what'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.14189424, 0.06233512, 0.11490832, 0.015851483, 0.055246532, 0.21207684, 0.12912874, -0.08893873, 0.14948088, 0.31159753, -0.09398641, -0.009205177, -0.06261699, 0.12885936, 0.0317505, -0.05517836, -0.025147751]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'racist black professor who made sick demand of white students just got a massive dose of karma'
GOLD SEQ: 	 b'racist black professor who made sick demand of white students just got a massive dose of karma'
PRED SEQ:	 b'black professor who made sick demand of white students just got a massive dose of karma'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.01428058, 0.15167992, 0.09773669, 0.18048993, 0.22260436, 0.22213285, 0.14179093, 0.022154175, 0.16814305, 0.049365163, 0.045450598, 0.0034381077, 0.1101577, 0.09037447, -0.016049631, 0.037696358, 0.072110936]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'right after failing healthcare again , mcconnell just learned his miserable fate'
GOLD SEQ: 	 b'right after failing healthcare again , mcconnell just learned his miserable fate'
PRED SEQ:	 b'right after failing healthcare again , mcconnell just learned his fate'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.00084012747, -0.12539676, -0.042782985, -0.3380009, 0.08033537, 0.10052478, -0.27454576, 0.10874039, 0.16398035, -0.11131756, 0.009024959, 0.010231294]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'scary report on d ##nc co ##ffer ##s proves why dem ##s should never go near a budget . rn ##c on the other hand'
GOLD SEQ: 	 b'scary report on d ##nc co ##ffer ##s proves why dem ##s should never go near a budget . rn ##c on the other hand'
PRED SEQ:	 b'report on d ##nc co ##ffer ##s proves why dem ##s should never go near a budget . rn ##c on the other hand'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.38027036, -0.22926053, -0.18426386, -0.47978824, -0.34465945, -0.043210015, -0.2233814, -0.10996084, -0.3225604, -0.010120891, -0.3191409, -0.2064802, -0.14780563, -0.07816954, -0.08346066, -0.23494601, -0.15274584, -0.2792237, -0.25199237, -0.45205948, -0.106732436, -0.058818385, 0.10855644, -0.052284993, -0.25472122]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'till ##erson : us to continue peaceful pressure on n . korea'
GOLD SEQ: 	 b'till ##erson : us to continue peaceful pressure on n . korea'
PRED SEQ:	 b'till ##erson : us to continue pressure on n . korea'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.16678101, -0.22180273, -0.12157164, -0.022232968, 0.01094985, 0.10929486, 0.12310975, -0.1585976, -0.16883871, -0.16054657, -0.34688845, -0.09915932]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : panel completely imp ##lo ##des when sally ko ##hn melt ##s down over trump supporter who defend ##s t ##wee ##ts'
GOLD SEQ: 	 b'watch : panel completely imp ##lo ##des when sally ko ##hn melt ##s down over trump supporter who defend ##s t ##wee ##ts'
PRED SEQ:	 b'watch : panel completely imp ##lo ##des when sally ko ##hn claims when trump supporter who defend ##s t ##wee ##ts'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.08107241, -0.013490535, -0.0049426556, 0.20458107, 0.22538725, 0.17826894, 0.21585317, 0.12312439, 0.028137881, -0.05133469, 0.14569105, 0.27468622, 0.18865198, 0.3128868, 0.0021515475, 0.016625032, 0.08454538, 0.19970122, 0.17649584, 0.0879411, -0.07243274, -0.1626922, -0.010713346]
GOLD TOK: 	 []
PRED TOK: 	 [['claims', 'when']]
################################################################################
IN SEQ: 	 b'watch : cop hog ties ga ##tor like a fr ##ick ##in ninja could you do this ?'
GOLD SEQ: 	 b'watch : cop hog ties ga ##tor like a fr ##ick ##in ninja could you do this ?'
PRED SEQ:	 b'watch : cop hog ties ga ##tor like a ninja could you do this ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.09616352, -0.11371845, -0.12451628, -0.029213011, -0.07125614, -0.19236785, -0.029370487, 0.27747366, 0.11893078, -0.08311814, -0.27577198, -0.038653806, 0.04315892, 0.017032892, -0.21007863, -0.14692806, -0.10185951, -0.021872684]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'dem ##s bad news : trump feast ##ing on democratic party car ##cas ##s'
GOLD SEQ: 	 b'dem ##s bad news : trump feast ##ing on democratic party car ##cas ##s'
PRED SEQ:	 b'dem ##s - wing news : trump feast ##ing on democratic party car ##cas ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.03147684, 0.24739434, 0.26461482, 0.087468505, 0.12643658, -0.056085855, 0.20610312, 0.13654935, 0.29964966, 0.4105732, 0.26944542, 0.35240698, 0.39590603, 0.47019282]
GOLD TOK: 	 []
PRED TOK: 	 [['-', 'wing']]
################################################################################
IN SEQ: 	 b'muslim refugees were assault ##ing women without consequence then the soldiers of odin showed up'
GOLD SEQ: 	 b'muslim refugees were assault ##ing women without consequence then the soldiers of odin showed up'
PRED SEQ:	 b'muslim refugees were killed women without consequence then the soldiers of odin showed up'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1991388, 0.295843, 0.34642276, 0.1417234, 0.19511497, 0.30062607, 0.18223026, 0.33150584, 0.32331088, 0.6143817, 0.1883226, 0.19775066, 0.19901295, 0.10933067, 0.31744945]
GOLD TOK: 	 []
PRED TOK: 	 [['killed']]
################################################################################
IN SEQ: 	 b'go ##rka challenges ex - obama staff ##er to debate , asks jake tap ##per to moderate'
GOLD SEQ: 	 b'go ##rka challenges ex - obama staff ##er to debate , asks jake tap ##per to moderate'
PRED SEQ:	 b'go ##rka challenges ex - obama staff ##er to debate , asks jake tap ##per to moderate'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.21439439, 0.40358627, 0.19071719, 0.22861639, 0.34040046, 0.13744254, 0.023385584, 0.33024755, 0.1530216, 0.26991254, 0.3003435, 0.20969473, 0.3714963, 0.05257833, 0.16408978, 0.34535676, 0.23862976]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mad dog matt ##is just issued terrifying threat to n . korea stu ##ns kim jong un with just three words'
GOLD SEQ: 	 b'mad dog matt ##is just issued terrifying threat to n . korea stu ##ns kim jong un with just three words'
PRED SEQ:	 b'mad dog matt ##is just issued threat to n . korea stu ##ns kim jong un with just three words'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.032446146, -0.07884445, 0.027203083, 0.061567947, -0.12479837, 0.062115178, 0.06839372, 0.07149441, -0.040851012, 0.011443287, -0.23036826, -0.11111045, -0.010346204, 0.16848765, 0.122493625, 0.02343522, 0.18603787, 0.067318946, -0.050917804, 0.103343055, 0.020946696]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : s ##no ##pes really wants you to donate cash after getting dealt massive death ##bl ##ow'
GOLD SEQ: 	 b'breaking : s ##no ##pes really wants you to donate cash after getting dealt massive death ##bl ##ow'
PRED SEQ:	 b'breaking : s ##no ##pes really wants you to donate cash after getting dealt a death ##bl ##ow'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.30292946, -0.3890155, -0.21673831, -0.426758, -0.24473262, 0.033403948, -0.016219959, -0.57329535, -0.06454235, -0.21217275, -0.21135047, -0.3138044, -0.3364535, -0.20990002, -0.07492047, 0.023779824, -0.4160432, -0.28625366]
GOLD TOK: 	 []
PRED TOK: 	 [['a']]
################################################################################
IN SEQ: 	 b'7 things you need to know about the results of the trump - putin meeting'
GOLD SEQ: 	 b'7 things you need to know about the results of the trump - putin meeting'
PRED SEQ:	 b'7 things you need to know about the results of the trump - putin meeting'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.034709677, -0.044129163, -0.17576401, 0.06755185, 0.351173, 0.22203389, 0.2212157, 0.5807776, 0.061876312, 0.34195715, 0.47134736, -0.005819112, 0.16813982, -0.039235167, 0.101376526]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'muslims across america just got the worst news of their lives moments after michigan terror attack today'
GOLD SEQ: 	 b'muslims across america just got the worst news of their lives moments after michigan terror attack today'
PRED SEQ:	 b'muslims across america just got the worst news of their lives moments after michigan terror attack today'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.01910001, 0.052601263, 0.26237154, -0.0454707, 0.14811392, 0.32154715, 0.2661867, 0.21186666, 0.17802916, -0.16932623, 0.13760158, 0.078185976, 0.13506012, 0.17495072, 0.44118446, 0.3712669, 0.23307995]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'russia totally caves in syria showdown'
GOLD SEQ: 	 b'russia totally caves in syria showdown'
PRED SEQ:	 b'russia totally caves in syria showdown'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.47250977, 0.41684046, 0.3650763, 0.40031892, 0.32526764, 0.33063424]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fake feminist ##s : democrat women in senate ignore female reformer ##s of islam'
GOLD SEQ: 	 b'fake feminist ##s : democrat women in senate ignore female reformer ##s of islam'
PRED SEQ:	 b'un ##sp ##nsed feminist ##s : democrat women in senate ignore female reformer ##s of islam'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.037593916, -0.06171199, 0.040305305, 0.0062294714, -0.12535553, -0.07872715, -0.078527585, -0.069144815, -0.022830099, 0.04632844, 0.29482067, 0.18367907, 0.253962, 0.10295979]
GOLD TOK: 	 []
PRED TOK: 	 [['un', '##sp', '##nsed']]
################################################################################
IN SEQ: 	 b'watch ! this politically incorrect car stick ##er is beyond epic has liberals melting down'
GOLD SEQ: 	 b'watch ! this politically incorrect car stick ##er is beyond epic has liberals melting down'
PRED SEQ:	 b'watch ! this politically incorrect car stick ##er is beyond epic has liberals melting down'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.11367387, -0.09988939, -0.18091917, -0.3549316, -0.039912045, 0.0222461, -0.026863351, 0.11295984, -0.12306987, -0.099950954, -0.1059456, -0.039546624, 0.1115506, 0.08414934, 0.21458977]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the problem with illegal immigration illustrated so even a liberal can understand'
GOLD SEQ: 	 b'the problem with illegal immigration illustrated so even a liberal can understand'
PRED SEQ:	 b'the problem with illegal immigration illustrated so even a liberal can understand'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.18838437, 0.2814527, 0.3602682, 0.31939965, 0.22442238, 0.09021731, 0.05066441, -0.022915855, 0.14952493, 0.39038342, -0.15981121, 0.15873572]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##ers ##the purge has begun !'
GOLD SEQ: 	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##ers ##the purge has begun !'
PRED SEQ:	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##ers ##the purge has begun !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.36377665, -0.2729334, -0.2768728, -0.30147374, -0.31842744, -0.17201331, -0.094479464, 0.13031375, -0.10873635, 0.13207789, -0.16043282, -0.122583024, 0.00014116056, -0.2503479, -0.14665006, -0.4140977, -0.50367534, -0.04601798, 0.034942918, -0.010106966, 0.06194139, -0.35064846]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'exposed : sources claim warren , harris behind de ##bu ##nk ##ed cnn hit piece'
GOLD SEQ: 	 b'exposed : sources claim warren , harris behind de ##bu ##nk ##ed cnn hit piece'
PRED SEQ:	 b'exposed : sources claim warren , harris behind re - ##nk ##ed cnn hit cnn hit piece'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.087151825, 0.03810107, -0.12663785, -0.0199598, 0.12872785, 0.110813916, 0.19786915, 0.19393416, 0.43087152, 0.26715422, 0.14062348, 0.22230318, -0.10323194, -0.009419937, 0.15341543]
GOLD TOK: 	 []
PRED TOK: 	 [['re', '-'], ['cnn', 'hit']]
################################################################################
IN SEQ: 	 b'video of woman stealing from ellen ##s show goes viral'
GOLD SEQ: 	 b'video of woman stealing from ellen ##s show goes viral'
PRED SEQ:	 b'video of woman stealing from ellen ##s show goes viral'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.006378785, 0.14186502, 0.1577422, 0.11822063, 0.16801864, 0.07293725, -0.033227444, 0.0397886, -0.021912962, 0.090124585]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'teen jumps from moving car to escape ho ##rri ##fying race - based attempted rape by 3 males at gun ##point'
GOLD SEQ: 	 b'teen jumps from moving car to escape ho ##rri ##fying race - based attempted rape by 3 males at gun ##point'
PRED SEQ:	 b'teen jumps from moving car to escape race - based attempted rape by 3 males at gun ##point'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.02653553, 0.039558038, -0.04021324, 0.070854515, 0.091863096, 0.23492318, 0.2958266, 0.29371196, 0.29929456, 0.47187167, 0.08979015, 0.50321734, 0.71557236, 0.43377703, 0.4106884, 0.4696971, 0.08663747, -0.08541516, 0.25026265, 0.06669847, 0.201446]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'family forced to remove cross memorial of their dead mother as atheist ##s take stand'
GOLD SEQ: 	 b'family forced to remove cross memorial of their dead mother as atheist ##s take stand'
PRED SEQ:	 b'family forced to remove cross memorial of their dead'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.28198197, 0.51471645, 0.478802, 0.56336266, 0.41548666, 0.63924235, 0.679624, 0.09596613, 0.42837048, 0.46206456, 0.29076234, 0.56787056, 0.538023, 0.27737895, 0.51665646]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'republicans should stick to their principles , even when dealing with california democrats'
GOLD SEQ: 	 b'republicans should stick to their principles , even when dealing with california democrats'
PRED SEQ:	 b'republicans to stick to their principles , even when dealing with california democrats'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.24829984, 0.08446936, -0.020946547, -0.09472242, -0.22600587, -0.09293025, 0.4765572, 0.28435892, 0.1435338, -0.025750171, 0.28830612, 0.010649011, 0.11335622]
GOLD TOK: 	 []
PRED TOK: 	 [['to']]
################################################################################
IN SEQ: 	 b'wow : the new york times just admitted that trump was right about the war on statues'
GOLD SEQ: 	 b'wow : the new york times just admitted that trump was right about the war on statues'
PRED SEQ:	 b'wow : the new york times claimed that trump was right about the war on statues'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.3284161, -0.43721086, -0.112996444, -0.42495766, -0.37786523, -0.29702774, -0.28584394, -0.27787066, -0.23429734, -0.39037767, -0.04941906, -0.29706344, -0.26634872, 0.1365147, 0.056452822, 0.12959874, 0.04498075]
GOLD TOK: 	 []
PRED TOK: 	 [['claimed']]
################################################################################
IN SEQ: 	 b'no shame : right after trump jr . released his emails , robert mueller did something totally disgusting'
GOLD SEQ: 	 b'no shame : right after trump jr . released his emails , robert mueller did something totally disgusting'
PRED SEQ:	 b'no shame : right after trump jr . released his emails , robert mueller did something of disgusting disgusting'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.113681644, 0.22807926, 0.18083957, -0.01972039, 0.020585284, -0.05876088, 0.008483676, 0.20704792, 0.023779593, -0.27180633, -0.22052932, -0.14874233, 0.10027793, 0.05296749, -0.03331171, 0.15125287, 0.0752884, 0.030290633]
GOLD TOK: 	 []
PRED TOK: 	 [['of'], ['disgusting']]
################################################################################
IN SEQ: 	 b'heritage foundations voter fraud database points to a problem'
GOLD SEQ: 	 b'heritage foundations voter fraud database points to a problem'
PRED SEQ:	 b'heritage foundations voter fraud database points to a problem'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.085892305, -0.056990728, 0.0509962, 0.18099195, 0.09011386, -0.052737057, -0.113553286, -0.08695795, 0.059163176]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ben carson tries to help baltimore , immediately gets sick ##ening welcome'
GOLD SEQ: 	 b'ben carson tries to help baltimore , immediately gets sick ##ening welcome'
PRED SEQ:	 b'ben carson tries to help baltimore , immediately gets sick ##ening'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20875908, 0.25209975, 0.0050627664, 0.17731561, 0.18484962, 0.20520242, 0.2818021, 0.08077197, 0.2869218, 0.4109087, 0.47157997, 0.373039]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'chuck sc ##hum ##er sinks to lowest approval rating ever in new york'
GOLD SEQ: 	 b'chuck sc ##hum ##er sinks to lowest approval rating ever in new york'
PRED SEQ:	 b'chuck sc ##hum ##er sinks to lowest approval rating ever in new york'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.021015313, 0.27362493, 0.15695357, 0.35489774, 0.086814344, 0.15946388, 0.26534897, 0.24446198, 0.26740208, 0.12718204, 0.010436505, 0.10946089, 0.19454488]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'[ video ] watch sick bill ma ##her make fun of a 9 year old boy for writing a letter to trump'
GOLD SEQ: 	 b'[ video ] watch sick bill ma ##her make fun of a 9 year old boy for writing a letter to trump'
PRED SEQ:	 b'[ video ] watch sick bill ma ##her make fun of a 9 year old boy for writing a letter to trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.18834007, 0.2860433, 0.27198943, 0.4543714, 0.391815, 0.58029723, 0.31880054, 0.43938947, 0.35583365, 0.29631463, 0.17500004, 0.13993995, 0.17319942, 0.23020563, 0.17093924, 0.19083136, 0.020201653, -0.08800405, -0.09642042, -0.14280823, -0.33281222, -0.36711216]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'top fbi lawyer is under investigation over the leaking incident'
GOLD SEQ: 	 b'top fbi lawyer is under investigation over the leaking incident'
PRED SEQ:	 b'fbi lawyer is under investigation over the leaking incident'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2792086, 0.24889728, 0.31988174, 0.5468624, 0.5317961, 0.43290585, 0.4412814, 0.9102894, 0.5720915, 0.51518]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'bombs ##hell : democrats busted intentionally using fake russian propaganda against trump , its bad'
GOLD SEQ: 	 b'bombs ##hell : democrats busted intentionally using fake russian propaganda against trump , its bad'
PRED SEQ:	 b'bombs ##hell : democrats busted intentionally using fake russian propaganda against trump , its'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.15602273, -0.045051515, -0.24598658, -0.36828017, -0.17214522, -0.11441046, 0.076981865, 0.104831085, 0.029028095, 0.017734531, -0.04355167, -0.15787627, 0.13616736, 0.12755936, 0.104697965]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'just in : trump finally makes his move against hillary clinton'
GOLD SEQ: 	 b'just in : trump finally makes his move against hillary clinton'
PRED SEQ:	 b'just in : trump makes his move against hillary clinton'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.010293812, 0.3281827, 0.09602299, -0.049092796, 0.04286834, -0.019717582, 0.0030892082, 0.13495882, 0.12898862, -0.0073673204, 0.1711556]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'harvey texas monday morning fe ##ma : citizens we need your help , this is a landmark event !'
GOLD SEQ: 	 b'harvey texas monday morning fe ##ma : citizens we need your help , this is a landmark event !'
PRED SEQ:	 b'harvey texas monday morning fe ##ma : citizens we need your help , this is a landmark event !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.18707103, 0.24475554, 0.25118983, 0.3112281, 0.09678812, 0.07746028, -0.19580051, -0.16897486, -0.30437827, -0.3004235, -0.6481064, -0.3097597, -0.026475795, -0.019153215, -0.028282061, -0.04328622, -0.062257215, 0.08404333, -0.24907224]
GOLD TOK: 	 []
