################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
GOLD SEQ: 	 b'racist black professor who made sick demand of white students just got a massive dose of karma'
PRED SEQ:	 b'black professor who made sick demand of white students just got a massive dose of karma'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.053793505, 0.010678977, 0.02075369, 0.017414428, 0.30580208, 0.013707762, 4.8536243e-05, 0.0486409, 0.002563613, 0.1999734, 0.0077752843, 0.0001610177, 0.02900261, 0.00074439734, 9.34543e-05, 0.18669644]
GOLD TOK: 	 [['racist']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'right after failing healthcare again , mcconnell just learned his fate'
GOLD SEQ: 	 b'right after failing healthcare again , mcconnell just learned his miserable fate'
PRED SEQ:	 b'right after failing healthcare again , mcconnell learned his fate'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.024055276, 2.8930686e-05, 0.00062534044, 0.0005341572, 0.0032192664, 5.4935426e-06, 0.0007005682, 0.66831386, 0.0027785802, 0.0006787963, 0.14884605]
GOLD TOK: 	 [['miserable']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'scary report on d ##nc co ##ffer ##s why dem ##s should never go near a budget . rn ##c on the other hand'
GOLD SEQ: 	 b'scary report on d ##nc co ##ffer ##s proves why dem ##s should never go near a budget . rn ##c on the other hand'
PRED SEQ:	 b'report on d ##nc co ##ffer ##s why dem ##s should never go near a budget . rn ##c on the other hand'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.94465584, 2.4324015e-06, 8.2814637e-07, 1.2740956e-06, 1.2189746e-06, 1.6960278e-06, 2.301878e-06, 4.4989765e-06, 0.017796237, 2.5563702e-06, 2.0359234e-06, 9.38484e-06, 9.903857e-06, 1.1217037e-06, 1.4017374e-06, 1.2864197e-06, 1.3620993e-06, 8.737764e-07, 4.2339707e-06, 4.2137135e-06, 9.622464e-07, 8.461303e-07, 1.8392498e-06, 2.204486e-06]
GOLD TOK: 	 [['proves']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'till ##erson : us to continue pressure on n . korea'
GOLD SEQ: 	 b'till ##erson : us to continue peaceful pressure on n . korea'
PRED SEQ:	 b'till ##erson : us to continue pressure on the korea .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.012767088, 0.0045448453, 0.0016104262, 0.08322248, 0.0018305854, 0.0027348548, 0.128127, 0.0027946944, 0.6398779, 0.25289974, 0.03566445]
GOLD TOK: 	 [['peaceful']]
PRED TOK: 	 [['the'], ['.']]
################################################################################
IN SEQ: 	 b'watch : panel completely imp ##lo ##des when sally ko ##hn melt ##s down over trump supporter who defend ##s t ##wee ##ts'
GOLD SEQ: 	 b'watch : panel completely imp ##lo ##des when sally ko ##hn melt ##s down over trump supporter who defend ##s t ##wee ##ts'
PRED SEQ:	 b'watch : panel completely imp ##lo ##des when sally ko ##hn melt ##s down over trump supporter who defend ##s t ##wee ##ts'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.007885587, 0.00035233243, 0.004309983, 0.13394876, 0.024008254, 0.04184699, 0.05978011, 0.0072792503, 0.004621058, 0.0003415452, 0.0009159488, 0.1581166, 0.21687031, 0.02468868, 0.06627257, 0.027426623, 0.22097562, 0.0015202875, 0.019213771, 0.0031517656, 0.0007760689, 0.0014431943, 0.0011229416]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : cop hog ties ga ##tor like a person ninja could you do this ?'
GOLD SEQ: 	 b'watch : cop hog ties ga ##tor like a fr ##ick ##in ninja could you do this ?'
PRED SEQ:	 b'watch : cop hog ties ga ##tor like a person ninja could you do this ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.025877178, 0.0078611905, 0.08514955, 0.024073895, 0.0122973975, 0.005850704, 0.017971797, 0.029125215, 0.008809301, 0.18141155, 0.40764672, 0.0986703, 0.100644514, 0.004416825, 0.010940438, 0.00692912]
GOLD TOK: 	 [['fr', '##ick', '##in']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'dem ##s bad news : trump on democratic party car ##cas ##s'
GOLD SEQ: 	 b'dem ##s bad news : trump feast ##ing on democratic party car ##cas ##s'
PRED SEQ:	 b'dem ##s news : trump on democratic party car ##cas ##s'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06021613, 0.19288486, 0.5001164, 0.018115697, 0.0019363463, 0.0033224327, 0.0012803753, 0.0003090494, 0.0012249944, 0.22036882, 0.2881811, 0.09337553]
GOLD TOK: 	 [['feast', '##ing']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'muslim refugees were assault ##ing women without consequence then the soldiers of odin showed up'
GOLD SEQ: 	 b'muslim refugees were assault ##ing women without consequence then the soldiers of odin showed up'
PRED SEQ:	 b'muslim refugees were assault ##ing women without consequence then the soldiers of odin showed up'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.046208188, 0.13002953, 0.0035206485, 0.64946014, 0.6293047, 0.14791717, 0.003409213, 0.0076914243, 0.0011122539, 0.0008736902, 0.0055560893, 9.1941365e-05, 0.038333595, 0.00014267993, 2.019168e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'go ##rka challenges ex - obama staff ##er to debate , asks jake tap ##per to'
GOLD SEQ: 	 b'go ##rka challenges ex - obama staff ##er to debate , asks jake tap ##per to moderate'
PRED SEQ:	 b'go ##rka challenges ex ##ter ##minate to debate , asks jake tap ##per to'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0024013298, 0.002260484, 0.06789754, 0.5613057, 0.6587683, 0.24679376, 0.064638406, 0.06326249, 7.3755175e-05, 0.004335751, 3.870445e-05, 0.020994248, 0.000179009, 2.4272955e-05, 0.00011824856, 0.0001211889]
GOLD TOK: 	 [['moderate']]
PRED TOK: 	 [['##ter', '##minate']]
################################################################################
IN SEQ: 	 b'mad dog matt ##is just issued threat to n . korea stu ##ns kim jong un with just three words matt'
GOLD SEQ: 	 b'mad dog matt ##is just issued terrifying threat to n . korea stu ##ns kim jong un with just three words'
PRED SEQ:	 b'mad dog matt ##is just issued threat to n . korea kim jong un with just three words matt'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.00028664575, 5.2631436e-05, 5.2139378e-05, 7.8802484e-05, 0.0016593167, 1.1782093e-05, 0.00011921521, 2.3479051e-06, 0.00081655994, 0.00012449751, 0.00012268606, 0.8815961, 0.97870433, 3.6631957e-06, 2.041891e-06, 2.4799244e-06, 1.4518977e-05, 0.0032947497, 6.532757e-06, 0.00017615694, 0.00022760908]
GOLD TOK: 	 [['terrifying']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : s ##no ##pes really wants you to donate cash after getting dealt death ##bl ##ow'
GOLD SEQ: 	 b'breaking : s ##no ##pes really wants you to donate cash after getting dealt massive death ##bl ##ow'
PRED SEQ:	 b'breaking : s ##no ##pes really wants you to donate cash after getting dealt'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00064379297, 5.062801e-05, 0.00021872202, 0.00022851932, 8.299047e-05, 0.0018119867, 3.166093e-05, 5.3652817e-05, 1.4773663e-06, 6.9538755e-06, 2.909379e-05, 2.2473353e-06, 5.1166458e-06, 0.0007126273, 0.92980534, 0.99060094, 0.99377173]
GOLD TOK: 	 [['massive']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'7 things you need to know about the results of the trump - putin meeting'
GOLD SEQ: 	 b'7 things you need to know about the results of the trump - putin meeting'
PRED SEQ:	 b'7 things you need to know about the results of the trump - putin meeting'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.04904703, 0.05922792, 0.5400945, 0.024712889, 2.3261897e-05, 4.437978e-05, 6.712719e-05, 0.00023804029, 0.0015980433, 2.1939424e-05, 0.000139503, 0.11884168, 0.15627328, 0.24256244, 0.03643185]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'muslims across america just got the worst news of their lives moments after michigan terror attack today'
GOLD SEQ: 	 b'muslims across america just got the worst news of their lives moments after michigan terror attack today'
PRED SEQ:	 b'muslims across america just got the worst news of their lives moments after michigan terror attack today'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11519859, 0.025444523, 0.0054959767, 0.2835631, 0.012898639, 0.0009576799, 0.1779874, 0.0036278076, 7.8489524e-05, 0.021705559, 0.00024561878, 0.026564904, 0.0006716397, 0.0077416166, 0.32764193, 0.03894538, 0.012343452]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'russia totally caves in syria'
GOLD SEQ: 	 b'russia totally caves in syria showdown'
PRED SEQ:	 b'russia totally caves in syria'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.009594856, 0.27914667, 0.08701292, 0.00048693002, 0.27547812]
GOLD TOK: 	 [['showdown']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'feminist ##s : democrat women in senate ignore female reformer ##s of islam'
GOLD SEQ: 	 b'fake feminist ##s : democrat women in senate ignore female reformer ##s of islam'
PRED SEQ:	 b'feminist ##s : democrat women in senate ignore female reformer ##s of islam'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.01143169, 0.013994739, 0.0009913084, 0.0067048506, 0.00651748, 2.9019886e-05, 0.0008634153, 0.52709615, 0.06493249, 0.17608167, 0.16216092, 0.0067118816, 0.060263015]
GOLD TOK: 	 [['fake']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch ! this politically incorrect car stick ##er is beyond epic has liberals melting down'
GOLD SEQ: 	 b'watch ! this politically incorrect car stick ##er is beyond epic has liberals melting down'
PRED SEQ:	 b'watch ! this politically incorrect car stick ##er is beyond epic has liberals melting down'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.039879724, 0.020311894, 0.03452826, 0.049056683, 0.024101274, 0.00082788424, 0.00083075673, 0.0004946438, 0.29121414, 0.086012356, 0.09312294, 0.03710574, 0.09863004, 0.0048753647, 0.00022297753]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the problem with illegal immigration illustrated so a liberal can understand'
GOLD SEQ: 	 b'the problem with illegal immigration illustrated so even a liberal can understand'
PRED SEQ:	 b'the problem with illegal immigration illustrated so a liberal'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0004944345, 0.017176908, 5.6297376e-05, 0.057923224, 0.0012390929, 0.021302506, 0.0072019934, 0.0024100912, 0.11447293, 0.08330368, 0.38858035]
GOLD TOK: 	 [['even']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##er ##the purge has begun !'
GOLD SEQ: 	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak ##ers ##the purge has begun !'
PRED SEQ:	 b'sessions smackdown : attorney general sessions to un ##ve ##il his plan to prose ##cute leak'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.002414431, 0.04375674, 0.00014690818, 2.6844671e-05, 1.8146235e-05, 0.000120282515, 0.00029875519, 0.0009101159, 0.0008731413, 0.0006949343, 0.0009032815, 0.0009129133, 2.0506008e-05, 0.004532171, 0.0061988505, 0.45928183, 0.36555684, 0.44034925, 0.13880768, 0.00056972454, 0.0011677671, 0.035219062]
GOLD TOK: 	 [['##ers']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'exposed : sources claim warren , harris behind the united states cnn hit piece'
GOLD SEQ: 	 b'exposed : sources claim warren , harris behind de ##bu ##nk ##ed cnn hit piece'
PRED SEQ:	 b'exposed : sources claim warren , harris behind the united states cnn hit piece'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.031916868, 0.00018333021, 0.0054161265, 0.4480987, 0.00028733994, 4.911227e-06, 0.00023139654, 0.017278, 2.911813e-05, 1.3012811e-05, 1.4178486e-05, 0.00034458318, 0.34508237, 0.14214824]
GOLD TOK: 	 [['de', '##bu', '##nk', '##ed']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'video of woman stealing from ellen ##s show goes viral'
GOLD SEQ: 	 b'video of woman stealing from ellen ##s show goes viral'
PRED SEQ:	 b'video of woman stealing from ellen ##s show goes viral'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0005715008, 0.0007817716, 0.26082572, 0.48291963, 0.00017401822, 0.006806845, 9.867301e-05, 0.0006290861, 0.010882093, 0.005033644]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'teen jumps from moving car to escape race - based attempted rape by 3 males at gun ##point'
GOLD SEQ: 	 b'teen jumps from moving car to escape ho ##rri ##fying race - based attempted rape by 3 males at gun ##point'
PRED SEQ:	 b'teen jumps from moving car to escape race - based attempted suicide by 3 males at gun ##point'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1022595, 0.015449955, 6.461081e-05, 0.0014434961, 0.0010310418, 0.00042112704, 0.024262637, 0.15356493, 0.04351691, 0.14763209, 0.12939237, 0.19239442, 5.7822774e-05, 0.037882067, 0.0570808, 6.9943366e-05, 0.0017718921, 0.0006943994]
GOLD TOK: 	 [['ho', '##rri', '##fying']]
PRED TOK: 	 [['suicide']]
################################################################################
IN SEQ: 	 b'family forced to remove cross memorial of their mother as atheist ##s take stand'
GOLD SEQ: 	 b'family forced to remove cross memorial of their dead mother as atheist ##s take stand'
PRED SEQ:	 b'family forced to remove cross memorial of their mother as atheist ##s take stand'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13057686, 0.34619528, 1.523949e-05, 0.00026296166, 0.03567253, 0.05099561, 3.4360317e-05, 0.02756994, 0.12366643, 0.00074584555, 0.020757524, 0.025558244, 0.00057819206, 0.00020400852]
GOLD TOK: 	 [['dead']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'republicans should stick to their principles , even when dealing with california democrats'
GOLD SEQ: 	 b'republicans should stick to their principles , even when dealing with california democrats'
PRED SEQ:	 b'republicans should stick to their principles , even when dealing with california democrats'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07006625, 0.6222397, 0.0001887548, 4.947806e-06, 0.009787989, 0.003979241, 2.1740063e-06, 0.014212889, 2.4954139e-05, 3.313931e-05, 4.340598e-06, 0.009421931, 0.026813759]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b': the new york times just reported that trump was right about the war on statues'
GOLD SEQ: 	 b'wow : the new york times just admitted that trump was right about the war on statues'
PRED SEQ:	 b': the new york times reported that trump was right about the war on statues'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00020853184, 2.8990203e-06, 2.2461827e-06, 2.8737618e-06, 2.2424883e-06, 0.38602898, 0.16539803, 4.2820502e-05, 0.00013325093, 0.0021672826, 0.16968666, 0.00040609625, 0.00020420372, 4.0928837e-05, 3.4173383e-06, 1.4016589e-05]
GOLD TOK: 	 [['wow'], ['admitted']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'no shame : right after trump jr . released his emails , robert mueller did something disgusting'
GOLD SEQ: 	 b'no shame : right after trump jr . released his emails , robert mueller did something totally disgusting'
PRED SEQ:	 b'no shame : right after trump jr . released his emails , robert mueller did something disgusting'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.004571147, 0.18560202, 0.00024048093, 0.00014342731, 3.173963e-06, 9.443601e-06, 1.0064559e-05, 8.725301e-06, 1.2678129e-05, 2.3490844e-05, 1.105696e-05, 6.298426e-06, 7.554196e-06, 4.6235073e-06, 0.0029201475, 0.033639755, 0.51462454]
GOLD TOK: 	 [['totally']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'heritage foundations voter fraud database points to a campaign'
GOLD SEQ: 	 b'heritage foundations voter fraud database points to a problem'
PRED SEQ:	 b'heritage foundations voter fraud database points to a campaign'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.13247731, 0.25260252, 0.054046135, 0.2007537, 0.035910085, 0.19723551, 0.00023184, 0.024862494, 0.09392712]
GOLD TOK: 	 [['problem']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ben carson tries to help baltimore , immediately gets welcome welcome'
GOLD SEQ: 	 b'ben carson tries to help baltimore , immediately gets sick ##ening welcome'
PRED SEQ:	 b'ben carson tries to help baltimore , immediately gets welcome'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.00056960405, 0.0010712189, 0.005460966, 4.8029855e-05, 0.0049187606, 0.0066080764, 9.970744e-06, 0.15513189, 0.022407407, 0.44912782, 0.18909605]
GOLD TOK: 	 [['sick', '##ening']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'chuck sc ##hum ##er to lowest approval rating ever in new york'
GOLD SEQ: 	 b'chuck sc ##hum ##er sinks to lowest approval rating ever in new york'
PRED SEQ:	 b'chuck sc ##hum ##er to lowest approval rating in new york'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [7.308302e-06, 3.1107486e-06, 1.0722277e-05, 7.2605694e-06, 0.00011759984, 0.0024448705, 0.0010920484, 4.125051e-06, 0.99528426, 3.5368314e-06, 5.269709e-06, 6.6577672e-06]
GOLD TOK: 	 [['sinks']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'[ video ] watch sick bill ma ##her make fun of a 9 year old boy for writing a letter to trump'
GOLD SEQ: 	 b'[ video ] watch sick bill ma ##her make fun of a 9 year old boy for writing a letter to trump'
PRED SEQ:	 b'[ video ] watch sick bill ma ##her make fun of a 9 year old boy for writing a letter to trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [3.7682162e-06, 3.2256128e-06, 4.8424686e-06, 3.3750587e-06, 0.98172414, 1.1398525e-06, 8.968019e-07, 1.1715455e-06, 1.379086e-06, 3.1273046e-06, 8.646457e-07, 1.502609e-06, 2.3301136e-06, 1.4003907e-06, 1.470825e-06, 0.00010460929, 2.2154516e-06, 9.271862e-07, 9.000011e-07, 1.6613277e-06, 8.9606493e-07, 1.1588629e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fbi lawyer is under investigation over the leaking incident'
GOLD SEQ: 	 b'top fbi lawyer is under investigation over the leaking incident'
PRED SEQ:	 b'fbi lawyer is under investigation over the incident'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0020219947, 0.0042230207, 0.0025183223, 0.0005142135, 0.0005153055, 0.0037932103, 0.011105747, 0.81206256, 0.07583107]
GOLD TOK: 	 [['top']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'bombs ##hell : democrats busted intentionally using fake russian propaganda against trump , its democrats'
GOLD SEQ: 	 b'bombs ##hell : democrats busted intentionally using fake russian propaganda against trump , its bad'
PRED SEQ:	 b'bombs ##hell : democrats busted using fake russian propaganda against trump , its democrats'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.0032425805, 0.008575174, 0.000110151945, 0.004125394, 0.11202297, 0.06155023, 0.0011336964, 0.34150127, 0.020942394, 0.24882151, 0.00031447035, 0.00024771702, 4.438957e-06, 0.010934423, 0.0022688792]
GOLD TOK: 	 [['bad']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'just in : trump makes his move against hillary clinton'
GOLD SEQ: 	 b'just in : trump finally makes his move against hillary clinton'
PRED SEQ:	 b'in : trump makes his move against hillary clinton'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.99928576, 6.1585583e-06, 1.4945599e-06, 6.098076e-06, 5.2970536e-06, 7.736863e-06, 1.8081386e-05, 8.347312e-06, 5.8112564e-06, 3.354071e-06]
GOLD TOK: 	 [['finally']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'harvey texas monday morning fe ##ma : citizens we need your help , this is a event !'
GOLD SEQ: 	 b'harvey texas monday morning fe ##ma : citizens we need your help , this is a landmark event !'
PRED SEQ:	 b'harvey texas monday morning fe ##ma : citizens we need your help , this is a event !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06488398, 0.11486436, 0.012775276, 0.0017304822, 0.01967699, 0.0021332845, 0.017684296, 0.18643771, 0.044140305, 0.004107914, 0.059660908, 0.0044700946, 0.00018801795, 0.007938806, 0.0054135458, 0.013484421, 0.02285381, 0.057395507]
GOLD TOK: 	 [['landmark']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'hum ##a emails reveal transmission of classified info with clinton clinton foundation donors receiving special treatment'
GOLD SEQ: 	 b'hum ##a emails reveal transmission of classified info with clinton clinton foundation donors receiving special treatment'
PRED SEQ:	 b'hum ##a emails reveal transmission of classified info with clinton clinton foundation donors receiving special treatment'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.56306046, 0.46566603, 0.0003281782, 0.03240427, 0.000257217, 1.3169089e-05, 0.002771933, 0.00041849056, 3.3894146e-05, 0.0009780034, 3.7725167e-05, 4.2677977e-05, 0.003576042, 0.008392913, 0.139555, 0.1337825]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'maxi ##ne waters gets put in her place after president trump on the house floor'
GOLD SEQ: 	 b'maxi ##ne waters gets put in her place after mocking president trump on the house floor'
PRED SEQ:	 b'maxi ##ne waters gets put in her place after president trump on the house floor'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.42499152, 0.03925982, 0.001913527, 0.2080002, 0.040413354, 0.0003595801, 0.039842833, 0.025939526, 0.016731566, 0.20630014, 0.0022376645, 0.005583896, 7.823709e-05, 0.0002673138, 0.00022004629]
GOLD TOK: 	 [['mocking']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'u . s . senate sends trump final bill to san ##ction russia , putin re ##tal ##iate with bold move'
GOLD SEQ: 	 b'u . s . senate sends trump final bill to san ##ction russia , putin re ##tal ##iate ##s with bold move'
PRED SEQ:	 b'u . s . senate sends trump final bill to san ##ction russia , putin re ##tal ##iate with bold move'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0017980104, 0.00014830015, 0.00012347991, 5.6845533e-05, 2.7806542e-05, 0.00013482399, 2.9438857e-05, 0.009011721, 8.138099e-05, 2.7043627e-05, 0.018920332, 0.059811402, 0.018108634, 6.1421933e-06, 0.092271216, 0.23326917, 0.18758, 0.50103205, 0.00013473854, 0.060238823, 0.0031372162]
GOLD TOK: 	 [['##s']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'president trump sum ##med up last nights victories with just 3 t ##wee ##ts with 3 t ##wee ##ts trump'
GOLD SEQ: 	 b'president trump sum ##med up last nights victories with just 3 awesome t ##wee ##ts'
PRED SEQ:	 b'president trump sum ##med up last nights victories with 3 t ##wee ##ts with 3 t ##wee ##ts trump'
