################################################################################
IN SEQ: 	 b'cops in republican senate office assault disabled protesters ; reports of serious injuries'
PRED DIST: 	 [0.114809185, -0.12623587, -0.29253143, -0.30349815, -0.10482542, -0.040035278, -0.13783343, -0.01846568, -0.080881946, -0.024336271, 0.03132023, 0.1363893, 0.1797094]
GOLD TOK: 	 [['just']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'uk person demonstrates how to properly react to getting hit by a bus'
GOLD SEQ: 	 b'uk man demonstrates how to properly react to getting hit by a bus'
PRED SEQ:	 b'uk person demonstrates how to properly react to getting hit by a bus'
GOLD DIST: 	 [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.41957617, 0.5152252, 0.34432915, 0.4020751, 0.32900968, 0.4055392, 0.42459753, 0.1528095, 0.04950921, 0.16315962, -0.03651225, 0.1432541, 0.44402057]
GOLD TOK: 	 [['man']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'did something ever make you feel old ? twitter trend takes grown - ups down memory lane'
GOLD SEQ: 	 b'did something ever make you feel old ? fun twitter trend takes grown - ups down memory lane'
PRED SEQ:	 b'did something ever make you feel old ? twitter trend takes grown - ups down memory lane'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.5576508, 0.5234312, 0.57019204, 0.43488774, 0.46240616, 0.3461698, 0.585497, 0.4131764, 0.49949658, 0.45150733, 0.27084705, 0.49141687, 0.45396352, 0.21452412, 0.22464612, 0.4713621, 0.20685098]
GOLD TOK: 	 [['fun']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'stevie wonder attacked by li ##bs who take advantage of his blindness after he drops truth bomb'
GOLD SEQ: 	 b'stevie wonder vicious ##ly attacked by li ##bs who take advantage of his blindness after he drops truth bomb'
PRED SEQ:	 b'stevie wonder attacked by li ##bs who take advantage of his blindness after he drops truth bomb'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.24522433, 0.27758744, 0.06789919, 0.122246236, 0.083577126, 0.071725264, 0.07202652, 0.40196007, 0.087971106, 0.26869738, 0.44772345, 0.3014322, 0.1154973, 0.30290824, 0.18777502, 0.31969747, 0.30071947]
GOLD TOK: 	 [['vicious', '##ly']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump just looked china ##s president in eyes & then launched two things into china'
GOLD SEQ: 	 b'trump just looked china ##s president in eyes & then launched two incredible things into china'
PRED SEQ:	 b'trump just looked china ##s president in eyes & then launched two things into china'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.28552142, 0.19932058, 0.05606346, -0.12397744, -0.010405958, 0.005219713, -0.10230082, 0.059641972, -0.055520743, 0.14112845, 0.038049653, 0.014265992, 0.09207399, -0.17931515, -0.0232535]
GOLD TOK: 	 [['incredible']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ice arrests over 100 undo . including rap ##ists'
GOLD SEQ: 	 b'ice arrests over 100 illegal immigrants in ny . including rap ##ists'
PRED SEQ:	 b'ice arrests over 100 undo . including rap ##ists'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.059349842, 0.14728731, -0.07764912, 0.07263521, 0.07688679, -0.055263266, -0.10948756, -0.2654128, -0.1353658]
GOLD TOK: 	 [['illegal', 'immigrants', 'in', 'ny']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'have one fewer child if you want to fight climate change , study says'
GOLD SEQ: 	 b'have one fewer child if you want to fight climate change , study says'
PRED SEQ:	 b'have one fewer child if you want to fight climate change , study says'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.15375045, 0.27671582, 0.19820878, 0.24257842, 0.32425737, 0.23310678, 0.17603266, 0.20449291, 0.13374469, 0.04639195, 0.034270763, 0.1441553, 0.17836568, 0.085356176]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'that time hillary actually ##ort ##d with foreign governments to rig the election'
GOLD SEQ: 	 b'that time hillary actually col ##lu ##ded with foreign governments to rig the election'
PRED SEQ:	 b'that time hillary'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20162007, 0.2624785, 0.2583663, 0.11718255, 0.106461644, 0.16287625, -0.04401639, -0.09537786, 0.020788208, -0.02638802, 0.082661256, 0.04339598, -0.042124093]
GOLD TOK: 	 [['col', '##lu', '##ded']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'watch : video shows bus driver neglect ##ing disabled teen whose wheelchair tipped teen whose wheelchair tipped over'
GOLD SEQ: 	 b'watch : disturbing video shows bus driver neglect ##ing disabled teen whose wheelchair tipped over'
PRED SEQ:	 b'watch : video shows bus driver who'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]
PRED DIST: 	 [0.41503653, 0.19802329, 0.28896043, 0.16581635, 0.3349436, 0.29112476, 0.35634756, 0.21833025, 0.38570756, 0.35016197, 0.2211366, 0.2669327, 0.25326943, 0.2795367, 0.21338329, 0.3509024, 0.39101857, 0.4093089]
GOLD TOK: 	 [['disturbing']]
PRED TOK: 	 [['who']]
################################################################################
IN SEQ: 	 b'breaking : president trump ban ##s transgender ##s from the military ; here ##s what we know'
GOLD SEQ: 	 b'breaking : president trump ban ##s transgender ##s from the military ; here ##s what we know'
PRED SEQ:	 b'breaking : president trump ban ##s transgender ##s from the military ; here ##s what we know'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.18080336, 0.03651385, 0.033192202, -0.1434466, 0.34273323, 0.1652987, 0.017548785, 0.1809361, 0.061916158, 0.2888933, 0.19181989, -0.0047350824, 0.22192726, 0.25357795, 0.31168482, 0.10313907, 0.25060374]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'horror story threat : floating fire ant colonies in flooded texas'
GOLD SEQ: 	 b'horror - story threat : floating fire ant colonies in flooded texas'
PRED SEQ:	 b'story threat : floating fire ant colonies in flooded texas'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.50938404, 0.31794816, 0.13270938, -0.04800509, 0.123587996, 0.16134688, 0.07295877, 0.012074977, 0.026017874, 0.08155134, 0.25197828]
GOLD TOK: 	 [['-']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'meg ##yn kelly ##s show is tank ##ing do you care .'
GOLD SEQ: 	 b'meg ##yn kelly ##s show is tank ##ing do you care ?'
PRED SEQ:	 b'meg ##yn kelly ##s show is tank ##ing to be tank ##ing do you care .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
PRED DIST: 	 [0.38455373, 0.33278143, 0.35947877, 0.2998863, 0.3129488, 0.22355221, 0.23033774, 0.15391648, 0.55967176, 0.43976548, 0.3432183, 0.20862855]
GOLD TOK: 	 [['?']]
PRED TOK: 	 [['to', 'be', 'tank', '##ing']]
################################################################################
IN SEQ: 	 b'girl falls from ski - lift as 2 by ##stand ##ers save child from death'
GOLD SEQ: 	 b'girl falls from ski - lift as 2 heroic by ##stand ##ers save child from death'
PRED SEQ:	 b'girl falls from ski - lift as 2 by ##stand ##ers save child from death'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.43462166, 0.23266111, 0.02902323, 0.15142429, 0.11534077, 0.23429215, -0.041912824, 0.1337634, 0.103352636, 0.2770809, 0.056968167, 0.12160286, 0.3727615, 0.10019393, 0.15651098]
GOLD TOK: 	 [['heroic']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : 1 dead , multiple injured after man declares jihad in colorado and missed by an inch'
GOLD SEQ: 	 b'breaking : 1 dead , multiple injured after man declares jihad in colorado and missed by an inch'
PRED SEQ:	 b'breaking : 1 dead , multiple injured after man declares jihad in colorado and missed by an inch'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11328706, -0.123634845, 0.06812526, 0.111389086, 0.21118328, -0.02277723, 0.117795676, -0.2652737, 0.15875101, -0.13357124, -0.15087128, -0.09778312, -0.09414397, -0.12523547, 0.20206323, -0.033353925, -0.13529155, 0.035149723]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'michelle obama runs her mouth at mel ##ania trump gets slapped down'
GOLD SEQ: 	 b'michelle obama runs her mouth at mel ##ania trump gets brutally slapped down'
PRED SEQ:	 b'michelle obama runs her mouth at mel ##ania trump gets slapped down'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3963478, 0.30408663, 0.26994252, 0.29427862, 0.3577896, 0.18995225, 0.30012113, 0.35706916, 0.41674298, 0.48147207, 0.51280785, 0.383411]
GOLD TOK: 	 [['brutally']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'pro - trump rally cancelled due to other threats'
GOLD SEQ: 	 b'pro - trump rally cancelled due to violent threats'
PRED SEQ:	 b'pro - trump rally cancelled due to other threats'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]
PRED DIST: 	 [0.32085758, 0.015225142, 0.19627893, 0.40899926, 0.36998805, 0.25255233, 0.12112297, 0.061852843, 0.14657335]
GOLD TOK: 	 [['violent']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump took time to recognize some other hero ##s while in france .'
GOLD SEQ: 	 b'trump took time to recognize some real hero ##s while in france .'
PRED SEQ:	 b'trump took time to recognize some other men while in france .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.05872163, 0.08352934, 0.12256202, -0.10099451, -0.102749705, -0.21715105, -0.18098876, -0.26103938, -0.22556502, -0.40367395, -0.27273503, -0.11722055, -0.33791313]
GOLD TOK: 	 [['real']]
PRED TOK: 	 [['men']]
################################################################################
IN SEQ: 	 b'breaking : cnn claimed russian hacking story is fake news'
GOLD SEQ: 	 b'breaking : cnn confesses russian hacking story is fake news'
PRED SEQ:	 b'breaking : cnn claimed russian hacking story is fake news'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.38649213, -0.38709465, -0.34363338, -0.34367353, -0.3314488, -0.3389083, -0.17964077, -0.22717907, -0.31666914, -0.23003173]
GOLD TOK: 	 [['confesses']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fake followers ! cnn busted with millions of followers on social media'
GOLD SEQ: 	 b'fake followers ! cnn busted with millions of fake followers on social media'
PRED SEQ:	 b'fake followers ! cnn busted with millions of followers on social media'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.41102493, 0.25346762, 0.05845672, 0.34869233, 0.32886103, 0.3183849, -0.1004725, -0.12292065, -0.053430855, -0.099714905, 0.023573209, 0.054274835]
GOLD TOK: 	 [['fake']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ohio rally ! what trump just said minutes ago was changed obama ##care once and for all ! ( video )'
GOLD SEQ: 	 b'ohio rally ! what trump just said minutes ago destroyed obama ##care once and for all ! ( video )'
PRED SEQ:	 b'ohio rally ! what trump just said minutes ago was changed obama ##care once and for all ! ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.35761893, 0.53343505, 0.1418325, 0.2807863, 0.17161801, 0.4285443, 0.44606018, 0.3845204, 0.5461283, 0.18363792, 0.2965932, -0.076942414, -0.23211652, 0.11680952, -0.09733738, -0.08431037, 0.08683198, 0.30503562, 0.3013487, 0.3714532, 0.079149425]
GOLD TOK: 	 [['destroyed']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ca dem ##s dec ##ry bullying , death threats from the left after she ##lving universal healthcare bill'
GOLD SEQ: 	 b'ca dem ##s dec ##ry bullying , death threats from the left after she ##lving universal healthcare bill'
PRED SEQ:	 b'ca dem ##s dec ##ry bullying , death threats from the left after she ##lving universal healthcare bill'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.19140145, 0.06838627, 0.038758405, 0.25952104, 0.15409994, 0.19116239, 0.37564477, 0.18748555, 0.1358141, 0.15092877, 0.43066603, 0.23235597, 0.21548538, 0.16001904, 0.07592244, -0.030321717, -0.0026356056, 0.09119539]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'win : trump just declared victory over n . korea with this act'
GOLD SEQ: 	 b'win : trump just declared victory over n . korea with this mighty act'
PRED SEQ:	 b'win : trump declared victory over n . korea with this act'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.23515406, -0.24574356, -0.061997592, -0.024803706, -0.04227954, -0.09317146, -0.04295835, 0.010947868, 0.053484082, 0.027523562, 0.12983572, 0.20779663, 0.2786511]
GOLD TOK: 	 [['mighty']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'google fires senior software engineer who wrote anti - diversity memo'
GOLD SEQ: 	 b'google fires senior software engineer who wrote anti - diversity memo'
PRED SEQ:	 b'google fires senior software engineer who wrote anti - diversity memo'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.029844105, -0.13281164, 0.04887417, -0.09989396, -0.17425698, -0.095220506, -0.18098187, -0.07080066, -0.3725579, -0.13593665, -0.011315763]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'update for little charlie ga ##rd'
GOLD SEQ: 	 b'heartbreak ##ing update for little charlie ga ##rd'
PRED SEQ:	 b'update for little charlie ga ##rd'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.056050986, -0.020891726, 0.06127858, 0.1383761, 0.11998293, 0.09975451]
GOLD TOK: 	 [['heartbreak', '##ing']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'video : evangelical pastor drops yu ##ge bombs ##hell about assassination plot against trump'
GOLD SEQ: 	 b'video : evangelical pastor drops yu ##ge bombs ##hell about assassination plot against trump'
PRED SEQ:	 b'video : evangelical pastor drops yu ##ge bombs ##hell about assassination plot against trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.22679232, 0.09499289, 0.093390286, 0.15781134, 0.19476326, 0.07592817, 0.0068242997, 0.26204938, -0.0066400617, 0.15869904, 0.17943145, 0.23713213, 0.046067476, 0.10028015]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'thug breaks into woman ##s home after warned to stay out , quickly wishes he had listened'
GOLD SEQ: 	 b'thug breaks into woman ##s home after warned to stay out , quickly wishes he had listened'
PRED SEQ:	 b'thug breaks into woman ##s home after warned to stay out , quickly wishes he had listened'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.15191332, -0.34583646, -0.5011599, -0.19312896, -0.34093392, -0.22958057, -0.2256191, -0.034728333, -0.25863197, -0.121558845, -0.08156727, 0.09234324, -0.055986255, -0.080726326, -0.1950602, -0.16376683, -0.17701727]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump t ##wee ##ts new video !'
GOLD SEQ: 	 b'trump t ##wee ##ts new video !'
PRED SEQ:	 b'trump t ##wee ##ts new video !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09619543, -0.05694668, -0.18566228, -0.27309197, 0.01869969, 0.19209713, 0.018060997]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'just in today : chelsea clinton was caught stealing money from charity foundation !'
GOLD SEQ: 	 b'just in today : chelsea clinton caught stealing money from charity foundation !'
PRED SEQ:	 b'just in today : chelsea clinton was reported stealing money from charity foundation !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.116723925, -0.039369076, -0.07795274, -0.18705457, -0.23060426, -0.16675182, 0.011179, 0.045413136, -0.063646525, 0.057308286, -0.07850444, -0.040777057, -0.040346622, -0.13100508]
GOLD TOK: 	 []
PRED TOK: 	 [['reported']]
################################################################################
IN SEQ: 	 b'not again ! kathy griffin posts another photo , then gets the surprise of her life'
GOLD SEQ: 	 b'not again ! kathy griffin posts another anti - trump photo , then gets the surprise of her life'
PRED SEQ:	 b'not again ! kathy griffin posts another photo , then claims the surprise of her life'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.034609374, 0.07467941, -0.23760046, -0.21800065, 0.006251823, -0.21134993, -0.08237423, 0.027390108, 0.12341863, 0.12659048, -0.14845447, 0.1155394, 0.11117594, -0.027061924, -0.008154124, -0.079845876]
GOLD TOK: 	 [['anti', '-', 'trump']]
PRED TOK: 	 [['claims']]
################################################################################
IN SEQ: 	 b'tucker in a ti ##zzy over trump be ##rating sessions'
GOLD SEQ: 	 b'tucker in a ti ##zzy over trump be ##rating sessions'
PRED SEQ:	 b'tucker in a ti ##zzy over trump be ##rating sessions'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.21308178, 0.14084607, 0.2571797, 0.15196505, -0.1067588, -0.06843737, -0.026425034, 0.43680632, 0.037535787, 0.15775582]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : iran was stabbed trump in the back look what they announced about their nuclear program'
GOLD SEQ: 	 b'breaking : iran just stabbed trump in the back look what they announced about their nuclear program'
PRED SEQ:	 b'breaking : iran was killed trump in the back look what they announced about their nuclear program'
GOLD DIST: 	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.58158594, 0.025491655, 0.3334219, 0.19549991, 0.06559716, 0.31089556, 0.2615828, 0.3088948, 0.41270968, 0.5507367, 0.4162231, 0.4268474, 0.3162248, 0.23768663, 0.42157215, 0.18470402, 0.18832469]
GOLD TOK: 	 [['just']]
PRED TOK: 	 [['killed']]
################################################################################
IN SEQ: 	 b'diamond and silk just leapt to trump ##s defense with viral comments that will have every american cheering'
GOLD SEQ: 	 b'diamond and silk just leapt to trump ##s defense with viral ran ##t that will have every american cheering'
PRED SEQ:	 b'diamond and silk just leapt to trump ##s defense with viral comments that will have every american cheering'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.18045379, -0.09466393, -0.14739951, 0.09818274, -0.0964558, -0.2555707, -0.11216396, -0.018407702, 0.023930494, -0.015758425, 0.11491233, 0.29161748, -0.26888055, 0.1099146, -0.030986011, -0.10757161, 0.015090048, -0.089482054]
GOLD TOK: 	 [['ran', '##t']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'rand paul : i have plan to transform u . s . health care system'
GOLD SEQ: 	 b'rand paul : i have plan to dramatically transform u . s . health care system'
PRED SEQ:	 b'rand paul : i have plan to transform u . s . health care system'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.3634739, -0.39934552, -0.7677286, -0.37782958, -0.5219569, -0.43903804, -0.72438437, -0.60614705, -0.6301146, -0.48948023, -0.48920202, -0.4841576, -0.7685725, -0.8386444, -0.7015768]
GOLD TOK: 	 [['dramatically']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'o ##ops : steven colbert like kelly ##anne conway to satan ,'
GOLD SEQ: 	 b'o ##ops : steven colbert like ##ns kelly ##anne conway to satan , immediately regrets it'
PRED SEQ:	 b'o ##ops : steven colbert like kelly ##anne conway to satan ,'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.0020706132, -0.13135739, -0.30028093, -0.19112721, -0.26821482, -0.0068802834, -0.058473706, -0.3659991, -0.20447688, -0.21792978, -0.1699219, 0.060896665]
GOLD TOK: 	 [['##ns'], ['immediately', 'regrets', 'it']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'supreme court to decide a religious liberty case once and for all'
GOLD SEQ: 	 b'supreme court to decide major religious liberty case once and for all'
PRED SEQ:	 b'supreme court to decide a religious liberty case once and for all'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14217159, -0.036713094, -0.28386283, 0.090545565, -0.019640543, 0.076282874, 0.10719876, -0.08480042, -0.19436768, -0.42064977, -0.45624176, -0.17148392]
GOLD TOK: 	 [['major']]
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'exposed : cnn ##s van jones is busted telling the truth on video'
GOLD SEQ: 	 b'exposed : cnn ##s van jones is busted telling the truth on video'
PRED SEQ:	 b'exposed : cnn ##s van jones is busted telling the truth on video'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.32852197, 0.27928668, 0.22798227, 0.39022306, 0.55223924, 0.38942778, 0.52229106, 0.44206053, 0.3569991, 0.5047392, 0.48699751, 0.47287017, 0.71278405]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'kennedy nails gum - flap ##ping sc ##hum ##er as king of tired dem talking points : ill show you un ##pres ##ide ##ntial !'
GOLD SEQ: 	 b'kennedy nails gum - flap ##ping sc ##hum ##er as king of tired dem talking points : ill show you un ##pres ##ide ##ntial !'
PRED SEQ:	 b'kennedy nails gum - flap ##ping sc ##hum ##er as king of tired dem talking points : ill show you un ##pres ##ide ##ntial !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1500842, 0.060512416, -0.030903455, -0.31563842, -0.20043369, -0.44861463, -0.18848795, -0.226911, -0.488435, 0.16324499, 0.15192343, 0.07297176, 0.13176373, 0.38703647, -0.05596792, 0.007396102, -0.26024526, 0.044734716, 0.21355039, 0.25179967, -0.030052446, -0.04725668, 0.08781178, 0.008311622, 0.13552807]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'ill be damned ! trey go ##wd ##y knows who the leak ##er is !'
GOLD SEQ: 	 b'ill be damned ! trey go ##wd ##y knows who the leak ##er is !'
PRED SEQ:	 b'ill be damned ! trey go ##wd ##y knows who the leak ##er is !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2308267, -0.05650794, 0.08029118, -0.037087113, 0.14516804, 0.26934308, -0.05395575, 0.10553894, 0.19145823, 0.012165401, 0.07436155, -0.026498616, -0.05899419, 0.035272017, 0.08870705]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump ##s body - slam t ##wee ##t drives four days of cnn news coverage [ video ]'
GOLD SEQ: 	 b'trump ##s body - slam t ##wee ##t drives four days of cnn news coverage [ video ]'
PRED SEQ:	 b'trump ##s body - slam t ##wee ##t drives four days of cnn news coverage [ video ]'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3553276, 0.1614042, 0.28675336, 0.10157301, 0.18069531, 0.08625199, 0.15778731, 0.0034294724, 0.104007244, 0.14271636, 0.14439139, 0.19088769, 0.2315464, 0.3209694, 0.23943804, 0.060930282, 0.2896765, 0.23246673]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'this city just became the first place in the us to issue gender - neutral drivers licenses'
GOLD SEQ: 	 b'this city just became the first place in the us to issue gender - neutral drivers licenses'
PRED SEQ:	 b'this city just became the first place in the us to issue gender - neutral drivers licenses'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.32727355, 0.39640024, 0.19520634, 0.07099134, 0.1514003, 0.24320562, 0.31591272, 0.1284519, 0.19757627, 0.30023372, 0.12380949, 0.24499907, 0.160347, -0.1483964, 0.03687176, 0.2888345, -0.03852588]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'tucker carlson explains why islam ##op ##ho ##bia is a big fat lie'
